Em0001g1007a	Hcv1.av93.c8.g835.i1
Em0004g73a	Hcv1.av93.c8.g308.i1
Em0004g750a	Hcv1.av93.c8.g407.i1
Em0004g755a	Hcv1.av93.c11.g836.i1
Em0004g776a	Hcv1.av93.c2.g615.i1
Em0004g788a	Hcv1.av93.c12.g342.i1
Em0004g789a	Hcv1.av93.c11.g917.i1
Em0004g794a	Hcv1.av93.c8.g166.i1
Em0004g795a	Hcv1.av93.c13.g113.i1
Em0004g797a	Hcv1.av93.c1.g146.i1
Em0004g82a	Hcv1.av93.c3.g1134.i1
Em0004g83a	Hcv1.av93.c13.g335.i2
Em0004g86a	Hcv1.av93.c12.g12.i1
Em0004g88a	Hcv1.av93.c13.g85.i3
Em0004g8a	Hcv1.av93.c13.g633.i1
Em0004g905a	Hcv1.av93.c5.g1028.i1
Em0004g91a	Hcv1.av93.c2.g1278.i1
Em0004g926a	Hcv1.av93.c7.g310.i1
Em0004g92a	Hcv1.av93.c2.g993.i2
Em0004g942a	Hcv1.av93.c2.g358.i1
Em0004g955a	Hcv1.av93.c9.g828.i1
Em0004g956a	Hcv1.av93.c1.g1114.i7
Em0004g959a	Hcv1.av93.c7.g34.i1
Em0004g95a	Hcv1.av93.c5.g350.i1
Em0004g96a	Hcv1.av93.c13.g273.i1
Em0004g974a	Hcv1.av93.c2.g901.i1
Em0004g97a	Hcv1.av93.c6.g453.i1
Em0004g996a	Hcv1.av93.c2.g673.i1
Em0004g997a	Hcv1.av93.c4.g807.i1
Em0005g1013a	Hcv1.av93.c7.g1035.i1
Em0005g1018a	Hcv1.av93.c7.g860.i1
Em0005g1021a	Hcv1.av93.c8.g898.i1
Em0005g1029a	Hcv1.av93.c2.g1370.i1
Em0005g1033a	Hcv1.av93.c2.g42.i1
Em0005g1035a	Hcv1.av93.c7.g907.i1
Em0005g1036a	Hcv1.av93.c11.g527.i1
Em0005g1058a	Hcv1.av93.c4.g86.i1
Em0005g1060a	Hcv1.av93.c11.g234.i1
Em0005g1062a	Hcv1.av93.c5.g898.i1
Em0005g1063a	Hcv1.av93.c2.g192.i1
Em0005g1093a	Hcv1.av93.c4.g340.i1
Em0005g1096a	Hcv1.av93.c11.g611.i1
Em0005g1100a	Hcv1.av93.c11.g963.i3
Em0005g1115a	Hcv1.av93.c4.g50.i1
Em0005g1146a	Hcv1.av93.c2.g1373.i1
Em0005g1150a	Hcv1.av93.c4.g893.i1
Em0005g1162a	Hcv1.av93.c8.g627.i1
Em0005g1163a	Hcv1.av93.c11.g740.i2
Em0005g1165a	Hcv1.av93.c11.g11.i1
Em0005g1166a	Hcv1.av93.c10.g502.i1
Em0005g1173a	Hcv1.av93.c7.g822.i1
Em0005g1179a	Hcv1.av93.c5.g295.i2
Em0005g1183a	Hcv1.av93.c11.g162.i2
Em0005g1184a	Hcv1.av93.c11.g487.i1
Em0005g1186a	Hcv1.av93.c1.g284.i2
Em0005g1193a	Hcv1.av93.c2.g1274.i3
Em0005g1202a	Hcv1.av93.c1.g845.i1
Em0005g1209a	Hcv1.av93.c4.g367.i1
Em0005g1211a	Hcv1.av93.c11.g433.i1
Em0005g1213a	Hcv1.av93.c11.g866.i2
Em0005g1215a	Hcv1.av93.c6.g403.i1
Em0005g1216a	Hcv1.av93.c9.g573.i1
Em0005g1239a	Hcv1.av93.c3.g792.i2
Em0005g1240a	Hcv1.av93.c11.g243.i3
Em0005g1268a	Hcv1.av93.c11.g638.i1
Em0005g1278a	Hcv1.av93.c3.g1100.i1
Em0005g1281a	Hcv1.av93.c10.g322.i1
Em0005g1287a	Hcv1.av93.c2.g1304.i1
Em0005g1323a	Hcv1.av93.c11.g285.i1
Em0005g1324a	Hcv1.av93.c11.g199.i1
Em0005g1326a	Hcv1.av93.c5.g467.i1
Em0005g1337a	Hcv1.av93.c8.g60.i1
Em0005g1339a	Hcv1.av93.c6.g357.i1
Em0005g1341a	Hcv1.av93.c11.g1031.i1
Em0005g1346a	Hcv1.av93.c11.g887.i1
Em0005g1373a	Hcv1.av93.c12.g329.i1
Em0005g1377a	Hcv1.av93.c7.g404.i1
Em0005g1379a	Hcv1.av93.c9.g855.i1
Em0005g1380a	Hcv1.av93.c4.g787.i1
Em0005g1396a	Hcv1.av93.c6.g678.i1
Em0005g142a	Hcv1.av93.c8.g451.i1
Em0005g1437a	Hcv1.av93.c2.g791.i1
Em0005g1438a	Hcv1.av93.c2.g797.i1
Em0005g143a	Hcv1.av93.c9.g663.i1
Em0005g1442a	Hcv1.av93.c11.g669.i1
Em0005g1443a	Hcv1.av93.c10.g153.i1
Em0005g1444a	Hcv1.av93.c2.g318.i1
Em0005g1446a	Hcv1.av93.c3.g773.i1
Em0005g1447a	Hcv1.av93.c11.g287.i2
Em0005g1448a	Hcv1.av93.c10.g422.i1
Em0005g1449a	Hcv1.av93.c6.g427.i1
Em0005g1450a	Hcv1.av93.c11.g625.i1
Em0005g1459a	Hcv1.av93.c5.g624.i1
Em0005g145a	Hcv1.av93.c11.g971.i1
Em0005g146a	Hcv1.av93.c9.g594.i1
Em0005g1472a	Hcv1.av93.c6.g888.i1
Em0005g1477a	Hcv1.av93.c2.g1583.i1
Em0005g1479a	Hcv1.av93.c2.g1584.i1
Em0005g1484a	Hcv1.av93.c2.g1183.i1
Em0005g1499a	Hcv1.av93.c5.g1285.i1
Em0005g149a	Hcv1.av93.c11.g277.i1
Em0005g1500a	Hcv1.av93.c2.g878.i1
Em0005g1501a	Hcv1.av93.c5.g154.i1
Em0005g150a	Hcv1.av93.c10.g228.i1
Em0005g1518a	Hcv1.av93.c1.g239.i1
Em0005g1520a	Hcv1.av93.c5.g1237.i1
Em0005g1522a	Hcv1.av93.c2.g1018.i1
Em0005g1524a	Hcv1.av93.c11.g395.i2
Em0005g1525a	Hcv1.av93.c7.g315.i1
Em0005g1527a	Hcv1.av93.c11.g385.i1
Em0005g1529a	Hcv1.av93.c11.g305.i1
Em0005g1532a	Hcv1.av93.c11.g76.i1
Em0005g1538a	Hcv1.av93.c2.g241.i1
Em0005g1540a	Hcv1.av93.c2.g1469.i1
Em0005g1541a	Hcv1.av93.c11.g908.i1
Em0005g1542a	Hcv1.av93.c8.g521.i1
Em0005g1544a	Hcv1.av93.c8.g640.i1
Em0005g1547a	Hcv1.av93.c8.g466.i1
Em0005g1553a	Hcv1.av93.c12.g269.i1
Em0005g1571a	Hcv1.av93.c11.g1030.i1
Em0005g1588a	Hcv1.av93.c11.g975.i1
Em0005g1591a	Hcv1.av93.c2.g1560.i1
Em0005g1595a	Hcv1.av93.c11.g302.i1
Em0005g1596a	Hcv1.av93.c11.g790.i1
Em0005g1599a	Hcv1.av93.c7.g28.i1
Em0005g1600a	Hcv1.av93.c11.g205.i1
Em0005g1605a	Hcv1.av93.c9.g635.i1
Em0005g1610a	Hcv1.av93.c7.g1073.i2
Em0005g1623a	Hcv1.av93.c4.g95.i2
Em0005g1626a	Hcv1.av93.c1.g120.i1
Em0005g1627a	Hcv1.av93.c3.g585.i1
Em0005g1630a	Hcv1.av93.c1.g442.i4
Em0005g1632a	Hcv1.av93.c9.g567.i1
Em0005g1633a	Hcv1.av93.c10.g122.i1
Em0005g1635a	Hcv1.av93.c7.g312.i1
Em0005g1636a	Hcv1.av93.c11.g1009.i1
Em0005g1637a	Hcv1.av93.c2.g186.i1
Em0005g1641a	Hcv1.av93.c2.g992.i1
Em0005g1643a	Hcv1.av93.c12.g561.i1
Em0005g1644a	Hcv1.av93.c11.g736.i1
Em0005g1647a	Hcv1.av93.c2.g1629.i1
Em0005g1648a	Hcv1.av93.c11.g945.i1
Em0005g1649a	Hcv1.av93.c9.g899.i1
Em0005g1652a	Hcv1.av93.c3.g676.i1
Em0005g1654a	Hcv1.av93.c11.g745.i1
Em0005g1655a	Hcv1.av93.c11.g434.i1
Em0005g1658a	Hcv1.av93.c11.g50.i1
Em0005g1661a	Hcv1.av93.c11.g314.i1
Em0005g1662a	Hcv1.av93.c7.g930.i1
Em0005g1665a	Hcv1.av93.c11.g254.i1
Em0005g1666a	Hcv1.av93.c11.g363.i1
Em0005g1674a	Hcv1.av93.c5.g1250.i1
Em0005g1680a	Hcv1.av93.c7.g317.i1
Em0005g169a	Hcv1.av93.c10.g287.i1
Em0005g170a	Hcv1.av93.c11.g893.i1
Em0005g171a	Hcv1.av93.c5.g1262.i1
Em0005g175a	Hcv1.av93.c10.g616.i1
Em0005g179a	Hcv1.av93.c10.g381.i1
Em0005g212a	Hcv1.av93.c11.g816.i1
Em0005g215a	Hcv1.av93.c10.g353.i1
Em0005g217a	Hcv1.av93.c1.g733.i1
Em0005g239a	Hcv1.av93.c2.g701.i1
Em0005g24a	Hcv1.av93.c5.g1345.i1
Em0005g25a	Hcv1.av93.c10.g59.i2
Em0005g262a	Hcv1.av93.c12.g300.i1
Em0005g29a	Hcv1.av93.c7.g1043.i1
Em0005g369a	Hcv1.av93.c11.g227.i1
Em0005g45a	Hcv1.av93.c5.g923.i3
Em0005g491a	Hcv1.av93.c4.g520.i1
Em0005g566a	Hcv1.av93.c1.g1476.i1
Em0005g60a	Hcv1.av93.c1.g457.i1
Em0005g61a	Hcv1.av93.c5.g1235.i1
Em0005g667a	Hcv1.av93.c3.g384.i1
Em0005g671a	Hcv1.av93.c5.g449.i1
Em0005g674a	Hcv1.av93.c4.g56.i2
Em0005g706a	Hcv1.av93.c1.g1082.i1
Em0005g707a	Hcv1.av93.c5.g152.i1
Em0005g710a	Hcv1.av93.c5.g1357.i1
Em0005g714a	Hcv1.av93.c2.g1406.i1
Em0005g72a	Hcv1.av93.c7.g120.i1
Em0005g73a	Hcv1.av93.c11.g19.i2
Em0005g75a	Hcv1.av93.c10.g281.i1
Em0005g772a	Hcv1.av93.c1.g115.i5
Em0005g802a	Hcv1.av93.c13.g450.i1
Em0005g803a	Hcv1.av93.c7.g1011.i1
Em0005g80a	Hcv1.av93.c3.g802.i1
Em0005g854a	Hcv1.av93.c2.g1547.i1
Em0005g85a	Hcv1.av93.c10.g1.i1
Em0005g86a	Hcv1.av93.c8.g354.i1
Em0005g870a	Hcv1.av93.c1.g1202.i1
Em0005g87a	Hcv1.av93.c10.g568.i2
Em0005g893a	Hcv1.av93.c11.g483.i1
Em0005g894a	Hcv1.av93.c11.g883.i2
Em0005g89a	Hcv1.av93.c10.g188.i1
Em0005g91a	Hcv1.av93.c5.g124.i1
Em0005g947a	Hcv1.av93.c11.g881.i1
Em0005g951a	Hcv1.av93.c1.g81.i1
Em0005g960a	Hcv1.av93.c11.g148.i1
Em0006g1000a	Hcv1.av93.c1.g664.i1
Em0006g1001a	Hcv1.av93.c9.g234.i1
Em0006g1002a	Hcv1.av93.c10.g207.i1
Em0006g1004a	Hcv1.av93.c3.g61.i1
Em0006g1007a	Hcv1.av93.c7.g589.i1
Em0006g1008a	Hcv1.av93.c5.g364.i1
Em0006g1010a	Hcv1.av93.c10.g701.i5
Em0006g1014a	Hcv1.av93.c9.g702.i1
Em0006g1034a	Hcv1.av93.c3.g545.i1
Em0006g1035a	Hcv1.av93.c2.g396.i1
Em0006g1044a	Hcv1.av93.c1.g353.i1
Em0006g1114a	Hcv1.av93.c7.g892.i2
Em0006g1115a	Hcv1.av93.c10.g477.i1
Em0006g1134a	Hcv1.av93.c10.g525.i1
Em0006g1150a	Hcv1.av93.c10.g40.i1
Em0006g1151a	Hcv1.av93.c11.g665.i1
Em0006g1153a	Hcv1.av93.c3.g385.i1
Em0006g1154a	Hcv1.av93.c8.g878.i1
Em0006g1168a	Hcv1.av93.c5.g687.i1
Em0006g1171a	Hcv1.av93.c10.g368.i1
Em0006g1172a	Hcv1.av93.c10.g681.i1
Em0006g1176a	Hcv1.av93.c13.g557.i1
Em0006g1181a	Hcv1.av93.c1.g1655.i1
Em0006g1185a	Hcv1.av93.c13.g185.i1
Em0006g1187a	Hcv1.av93.c1.g117.i1
Em0006g11a	Hcv1.av93.c1.g532.i1
Em0006g1216a	Hcv1.av93.c10.g434.i1
Em0006g1217a	Hcv1.av93.c10.g638.i4
Em0006g1218a	Hcv1.av93.c5.g335.i1
Em0006g1224a	Hcv1.av93.c10.g657.i1
Em0006g1227a	Hcv1.av93.c7.g402.i1
Em0006g1235a	Hcv1.av93.c5.g1198.i1
Em0006g1237a	Hcv1.av93.c7.g314.i1
Em0006g1239a	Hcv1.av93.c1.g1520.i1
Em0006g1245a	Hcv1.av93.c6.g263.i2
Em0006g1247a	Hcv1.av93.c5.g734.i1
Em0006g1318a	Hcv1.av93.c7.g342.i1
Em0006g1363a	Hcv1.av93.c8.g360.i3
Em0006g1365a	Hcv1.av93.c9.g795.i1
Em0006g1374a	Hcv1.av93.c10.g626.i1
Em0006g1403a	Hcv1.av93.c8.g537.i1
Em0006g1422a	Hcv1.av93.c8.g130.i1
Em0006g1430a	Hcv1.av93.c1.g1462.i1
Em0006g1463a	Hcv1.av93.c6.g749.i1
Em0006g1508a	Hcv1.av93.c8.g165.i1
Em0006g1556a	Hcv1.av93.c1.g262.i1
Em0006g1558a	Hcv1.av93.c10.g745.i1
Em0006g1560a	Hcv1.av93.c8.g720.i1
Em0006g1562a	Hcv1.av93.c10.g348.i1
Em0006g251a	Hcv1.av93.c5.g617.i1
Em0006g467a	Hcv1.av93.c1.g1622.i1
Em0006g472a	Hcv1.av93.c1.g1040.i1
Em0006g494a	Hcv1.av93.c5.g300.i1
Em0006g49a	Hcv1.av93.c3.g462.i1
Em0006g502a	Hcv1.av93.c1.g1044.i1
Em0006g517a	Hcv1.av93.c8.g559.i1
Em0006g528a	Hcv1.av93.c11.g528.i1
Em0006g584a	Hcv1.av93.c9.g536.i1
Em0006g590a	Hcv1.av93.c10.g726.i3
Em0006g599a	Hcv1.av93.c9.g212.i1
Em0006g618a	Hcv1.av93.c7.g903.i1
Em0006g619a	Hcv1.av93.c7.g364.i1
Em0006g620a	Hcv1.av93.c5.g702.i1
Em0006g631a	Hcv1.av93.c7.g995.i3
Em0006g644a	Hcv1.av93.c9.g371.i2
Em0006g646a	Hcv1.av93.c5.g705.i1
Em0006g661a	Hcv1.av93.c2.g1227.i1
Em0006g662a	Hcv1.av93.c4.g379.i1
Em0006g698a	Hcv1.av93.c2.g1356.i2
Em0006g717a	Hcv1.av93.c6.g869.i1
Em0006g741a	Hcv1.av93.c1.g145.i1
Em0006g747a	Hcv1.av93.c5.g975.i1
Em0006g794a	Hcv1.av93.c5.g35.i1
Em0006g862a	Hcv1.av93.c6.g874.i1
Em0006g863a	Hcv1.av93.c10.g242.i2
Em0006g866a	Hcv1.av93.c11.g748.i2
Em0006g871a	Hcv1.av93.c5.g1192.i1
Em0006g874a	Hcv1.av93.c5.g36.i1
Em0006g876a	Hcv1.av93.c1.g411.i1
Em0006g892a	Hcv1.av93.c1.g1018.i1
Em0006g893a	Hcv1.av93.c2.g1632.i1
Em0006g898a	Hcv1.av93.c9.g760.i1
Em0006g900a	Hcv1.av93.c1.g1409.i1
Em0006g904a	Hcv1.av93.c9.g554.i1
Em0006g908a	Hcv1.av93.c9.g552.i1
Em0006g958a	Hcv1.av93.c11.g445.i1
Em0006g969a	Hcv1.av93.c10.g229.i1
Em0006g973a	Hcv1.av93.c2.g1285.i1
Em0006g980a	Hcv1.av93.c2.g936.i1
Em0006g983a	Hcv1.av93.c7.g547.i1
Em0006g984a	Hcv1.av93.c3.g476.i1
Em0007g1001a	Hcv1.av93.c4.g389.i1
Em0007g1006a	Hcv1.av93.c11.g686.i1
Em0007g1024a	Hcv1.av93.c3.g1342.i1
Em0007g1124a	Hcv1.av93.c8.g927.i1
Em0007g1126a	Hcv1.av93.c5.g918.i1
Em0007g11a	Hcv1.av93.c5.g788.i1
Em0007g1330a	Hcv1.av93.c5.g886.i1
Em0007g1360a	Hcv1.av93.c5.g828.i1
Em0007g1394a	Hcv1.av93.c5.g340.i1
Em0007g1397a	Hcv1.av93.c11.g25.i1
Em0007g1457a	Hcv1.av93.c5.g693.i1
Em0007g1460a	Hcv1.av93.c5.g111.i1
Em0007g1462a	Hcv1.av93.c2.g29.i1
Em0007g1463a	Hcv1.av93.c5.g454.i1
Em0007g1465a	Hcv1.av93.c9.g478.i1
Em0007g1505a	Hcv1.av93.c9.g917.i1
Em0007g1514a	Hcv1.av93.c3.g1238.i2
Em0007g1534a	Hcv1.av93.c2.g646.i1
Em0007g155a	Hcv1.av93.c2.g1669.i1
Em0007g182a	Hcv1.av93.c2.g1185.i1
Em0007g18a	Hcv1.av93.c2.g1411.i1
Em0007g20a	Hcv1.av93.c6.g462.i1
Em0007g21a	Hcv1.av93.c2.g363.i1
Em0007g224a	Hcv1.av93.c5.g90.i1
Em0007g22a	Hcv1.av93.c2.g306.i1
Em0007g240a	Hcv1.av93.c2.g1297.i1
Em0007g242a	Hcv1.av93.c5.g155.i1
Em0007g247a	Hcv1.av93.c8.g688.i1
Em0007g250a	Hcv1.av93.c1.g1253.i1
Em0007g251a	Hcv1.av93.c5.g1255.i1
Em0007g252a	Hcv1.av93.c6.g234.i1
Em0007g256a	Hcv1.av93.c3.g1009.i1
Em0007g258a	Hcv1.av93.c7.g624.i1
Em0007g260a	Hcv1.av93.c5.g1059.i1
Em0007g266a	Hcv1.av93.c2.g883.i1
Em0007g26a	Hcv1.av93.c9.g318.i1
Em0007g284a	Hcv1.av93.c8.g638.i1
Em0007g294a	Hcv1.av93.c2.g538.i1
Em0007g295a	Hcv1.av93.c2.g991.i1
Em0007g30a	Hcv1.av93.c9.g291.i1
Em0007g31a	Hcv1.av93.c2.g1279.i1
Em0007g323a	Hcv1.av93.c1.g234.i2
Em0007g32a	Hcv1.av93.c2.g1200.i1
Em0007g331a	Hcv1.av93.c2.g1654.i1
Em0007g33a	Hcv1.av93.c1.g787.i1
Em0007g369a	Hcv1.av93.c6.g516.i2
Em0007g38a	Hcv1.av93.c8.g331.i1
Em0007g40a	Hcv1.av93.c11.g719.i1
Em0007g419a	Hcv1.av93.c12.g432.i1
Em0007g42a	Hcv1.av93.c4.g846.i2
Em0007g525a	Hcv1.av93.c8.g107.i1
Em0007g527a	Hcv1.av93.c2.g616.i1
Em0007g577a	Hcv1.av93.c2.g1277.i1
Em0007g587a	Hcv1.av93.c2.g1045.i1
Em0007g589a	Hcv1.av93.c13.g275.i3
Em0007g591a	Hcv1.av93.c5.g954.i1
Em0007g621a	Hcv1.av93.c12.g160.i2
Em0007g626a	Hcv1.av93.c3.g212.i1
Em0007g644a	Hcv1.av93.c11.g900.i1
Em0007g680a	Hcv1.av93.c8.g221.i1
Em0007g70a	Hcv1.av93.c1.g558.i1
Em0007g717a	Hcv1.av93.c13.g47.i1
Em0007g732a	Hcv1.av93.c1.g1093.i1
Em0007g738a	Hcv1.av93.c5.g458.i1
Em0007g741a	Hcv1.av93.c12.g276.i1
Em0007g770a	Hcv1.av93.c1.g731.i1
Em0007g78a	Hcv1.av93.c1.g829.i1
Em0007g850a	Hcv1.av93.c5.g1000.i2
Em0007g926a	Hcv1.av93.c1.g83.i1
Em0007g930a	Hcv1.av93.c3.g316.i1
Em0007g937a	Hcv1.av93.c10.g76.i7
Em0007g962a	Hcv1.av93.c11.g824.i1
Em0007g965a	Hcv1.av93.c8.g900.i1
Em0007g970a	Hcv1.av93.c1.g202.i1
Em0007g981a	Hcv1.av93.c11.g653.i1
Em0007g982a	Hcv1.av93.c8.g434.i1
Em0007g987a	Hcv1.av93.c5.g469.i1
Em0007g992a	Hcv1.av93.c2.g1465.i1
Em0008g1005a	Hcv1.av93.c12.g506.i1
Em0008g1006a	Hcv1.av93.c4.g408.i2
Em0008g1007a	Hcv1.av93.c9.g421.i1
Em0008g1009a	Hcv1.av93.c4.g881.i1
Em0008g1011a	Hcv1.av93.c8.g697.i1
Em0008g1012a	Hcv1.av93.c10.g290.i2
Em0008g1013a	Hcv1.av93.c4.g761.i1
Em0008g1017a	Hcv1.av93.c3.g388.i1
Em0008g1018a	Hcv1.av93.c4.g332.i1
Em0008g1021a	Hcv1.av93.c4.g446.i2
Em0008g1024a	Hcv1.av93.c3.g581.i2
Em0008g1026a	Hcv1.av93.c10.g331.i1
Em0008g1027a	Hcv1.av93.c4.g204.i1
Em0008g1028a	Hcv1.av93.c6.g963.i1
Em0008g1030a	Hcv1.av93.c5.g172.i1
Em0008g1032a	Hcv1.av93.c6.g11.i1
Em0008g1033a	Hcv1.av93.c13.g339.i1
Em0008g1040a	Hcv1.av93.c5.g358.i1
Em0008g1043a	Hcv1.av93.c4.g880.i1
Em0008g104a	Hcv1.av93.c9.g787.i1
Em0008g1059a	Hcv1.av93.c4.g133.i1
Em0008g105a	Hcv1.av93.c6.g1163.i1
Em0008g1060a	Hcv1.av93.c5.g949.i1
Em0008g1063a	Hcv1.av93.c4.g137.i1
Em0008g1068a	Hcv1.av93.c8.g833.i1
Em0008g1070a	Hcv1.av93.c5.g161.i1
Em0008g1071a	Hcv1.av93.c4.g838.i1
Em0008g1072a	Hcv1.av93.c1.g556.i1
Em0008g1076a	Hcv1.av93.c6.g292.i1
Em0008g1079a	Hcv1.av93.c1.g1365.i1
Em0008g1080a	Hcv1.av93.c5.g47.i1
Em0008g1081a	Hcv1.av93.c4.g813.i1
Em0008g1082a	Hcv1.av93.c4.g208.i1
Em0008g1107a	Hcv1.av93.c8.g1013.i1
Em0008g1108a	Hcv1.av93.c4.g30.i1
Em0008g1110a	Hcv1.av93.c4.g926.i1
Em0008g1112a	Hcv1.av93.c3.g782.i1
Em0008g1116a	Hcv1.av93.c1.g1652.i1
Em0008g1117a	Hcv1.av93.c4.g16.i1
Em0008g1121a	Hcv1.av93.c1.g535.i1
Em0008g1122a	Hcv1.av93.c7.g677.i1
Em0008g1123a	Hcv1.av93.c5.g408.i1
Em0008g1128a	Hcv1.av93.c4.g555.i1
Em0008g1130a	Hcv1.av93.c6.g299.i1
Em0008g1137a	Hcv1.av93.c12.g67.i1
Em0008g1146a	Hcv1.av93.c4.g889.i1
Em0008g1166a	Hcv1.av93.c9.g504.i1
Em0008g1192a	Hcv1.av93.c3.g1223.i1
Em0008g1195a	Hcv1.av93.c4.g929.i1
Em0008g1200a	Hcv1.av93.c3.g1075.i1
Em0008g1201a	Hcv1.av93.c3.g64.i1
Em0008g1212a	Hcv1.av93.c11.g18.i2
Em0008g1214a	Hcv1.av93.c3.g994.i1
Em0008g1215a	Hcv1.av93.c13.g386.i1
Em0008g1217a	Hcv1.av93.c2.g1554.i1
Em0008g1220a	Hcv1.av93.c6.g423.i1
Em0008g1221a	Hcv1.av93.c4.g27.i1
Em0008g1227a	Hcv1.av93.c7.g35.i1
Em0008g1228a	Hcv1.av93.c5.g168.i1
Em0008g1229a	Hcv1.av93.c3.g495.i1
Em0008g1234a	Hcv1.av93.c1.g88.i1
Em0008g1258a	Hcv1.av93.c4.g195.i1
Em0008g1259a	Hcv1.av93.c6.g742.i1
Em0008g1261a	Hcv1.av93.c7.g214.i1
Em0008g1262a	Hcv1.av93.c1.g238.i1
Em0008g1265a	Hcv1.av93.c2.g876.i1
Em0008g1268a	Hcv1.av93.c3.g789.i1
Em0008g1271a	Hcv1.av93.c3.g1348.i1
Em0008g1273a	Hcv1.av93.c6.g193.i2
Em0008g145a	Hcv1.av93.c1.g1448.i1
Em0008g162a	Hcv1.av93.c8.g737.i1
Em0008g179a	Hcv1.av93.c4.g440.i1
Em0008g192a	Hcv1.av93.c8.g970.i2
Em0008g207a	Hcv1.av93.c5.g994.i1
Em0008g211a	Hcv1.av93.c12.g32.i1
Em0008g245a	Hcv1.av93.c2.g144.i1
Em0008g279a	Hcv1.av93.c3.g176.i2
Em0008g287a	Hcv1.av93.c8.g156.i2
Em0008g29a	Hcv1.av93.c3.g1007.i1
Em0008g30a	Hcv1.av93.c3.g728.i1
Em0008g31a	Hcv1.av93.c3.g732.i1
Em0008g347a	Hcv1.av93.c10.g128.i1
Em0008g350a	Hcv1.av93.c11.g889.i1
Em0008g352a	Hcv1.av93.c3.g609.i1
Em0008g367a	Hcv1.av93.c3.g1216.i1
Em0008g370a	Hcv1.av93.c3.g459.i1
Em0008g372a	Hcv1.av93.c1.g700.i2
Em0008g401a	Hcv1.av93.c8.g604.i1
Em0008g413a	Hcv1.av93.c13.g269.i1
Em0008g422a	Hcv1.av93.c3.g361.i1
Em0008g425a	Hcv1.av93.c1.g1188.i1
Em0008g42a	Hcv1.av93.c9.g207.i1
Em0008g449a	Hcv1.av93.c1.g534.i1
Em0008g45a	Hcv1.av93.c4.g345.i1
Em0008g46a	Hcv1.av93.c7.g235.i1
Em0008g479a	Hcv1.av93.c7.g560.i1
Em0008g48a	Hcv1.av93.c10.g636.i1
Em0008g506a	Hcv1.av93.c4.g815.i1
Em0008g507a	Hcv1.av93.c5.g1320.i1
Em0008g532a	Hcv1.av93.c8.g803.i1
Em0008g535a	Hcv1.av93.c1.g1374.i1
Em0008g536a	Hcv1.av93.c1.g691.i1
Em0008g53a	Hcv1.av93.c5.g203.i1
Em0008g542a	Hcv1.av93.c6.g784.i1
Em0008g543a	Hcv1.av93.c12.g499.i1
Em0008g548a	Hcv1.av93.c2.g1086.i2
Em0008g55a	Hcv1.av93.c3.g407.i1
Em0008g572a	Hcv1.av93.c4.g393.i1
Em0008g576a	Hcv1.av93.c9.g34.i1
Em0008g604a	Hcv1.av93.c3.g979.i1
Em0008g605a	Hcv1.av93.c3.g981.i2
Em0008g60a	Hcv1.av93.c1.g1293.i1
Em0008g61a	Hcv1.av93.c4.g560.i1
Em0008g623a	Hcv1.av93.c11.g1024.i1
Em0008g627a	Hcv1.av93.c3.g927.i1
Em0008g628a	Hcv1.av93.c10.g130.i1
Em0008g671a	Hcv1.av93.c6.g838.i1
Em0008g683a	Hcv1.av93.c6.g1221.i1
Em0008g708a	Hcv1.av93.c2.g1038.i1
Em0008g71a	Hcv1.av93.c9.g162.i2
Em0008g735a	Hcv1.av93.c5.g844.i1
Em0008g737a	Hcv1.av93.c10.g449.i1
Em0008g764a	Hcv1.av93.c10.g566.i1
Em0008g819a	Hcv1.av93.c6.g880.i3
Em0008g821a	Hcv1.av93.c4.g94.i1
Em0008g831a	Hcv1.av93.c4.g26.i2
Em0008g864a	Hcv1.av93.c6.g896.i1
Em0008g882a	Hcv1.av93.c4.g268.i1
Em0008g906a	Hcv1.av93.c6.g994.i1
Em0008g911a	Hcv1.av93.c7.g928.i1
Em0008g913a	Hcv1.av93.c7.g201.i1
Em0008g915a	Hcv1.av93.c10.g712.i1
Em0008g93a	Hcv1.av93.c4.g550.i1
Em0008g944a	Hcv1.av93.c2.g845.i1
Em0008g946a	Hcv1.av93.c4.g372.i1
Em0008g94a	Hcv1.av93.c4.g767.i1
Em0008g955a	Hcv1.av93.c2.g339.i1
Em0008g956a	Hcv1.av93.c4.g252.i1
Em0008g966a	Hcv1.av93.c4.g714.i1
Em0008g967a	Hcv1.av93.c1.g1291.i1
Em0008g969a	Hcv1.av93.c5.g582.i1
Em0008g96a	Hcv1.av93.c4.g191.i1
Em0008g971a	Hcv1.av93.c5.g823.i1
Em0008g972a	Hcv1.av93.c5.g526.i1
Em0008g973a	Hcv1.av93.c6.g658.i1
Em0008g974a	Hcv1.av93.c6.g407.i1
Em0008g978a	Hcv1.av93.c3.g191.i1
Em0008g97a	Hcv1.av93.c12.g9.i2
Em0008g980a	Hcv1.av93.c4.g398.i1
Em0008g99a	Hcv1.av93.c8.g284.i1
Em0009g1008a	Hcv1.av93.c1.g1089.i1
Em0009g1010a	Hcv1.av93.c3.g942.i1
Em0009g1018a	Hcv1.av93.c2.g1206.i1
Em0009g1019a	Hcv1.av93.c5.g142.i1
Em0009g1020a	Hcv1.av93.c5.g963.i1
Em0009g1021a	Hcv1.av93.c1.g1079.i1
Em0009g1022a	Hcv1.av93.c5.g931.i1
Em0009g1023a	Hcv1.av93.c1.g1068.i1
