XP_004987445.1	mRNA.RE02957
XP_004990050.1	mRNA.RE07278
XP_004990052.1	mRNA.RE03533
XP_004990053.1	mRNA.RE15495
XP_004990055.1	mRNA.RE03152
XP_004990061.1	mRNA.RE04345
XP_004990062.1	mRNA.RE00411
XP_004990066.1	mRNA.RE15008
XP_004990068.1	mRNA.RE07284
XP_004990069.1	mRNA.RE13989
XP_004990070.1	mRNA.RE03834
XP_004990071.1	mRNA.RE14228
XP_004990075.1	mRNA.RE12414
XP_004990080.1	mRNA.RE14067
XP_004990081.1	mRNA.RE01456
XP_004990082.1	mRNA.RE11143
XP_004990084.1	mRNA.RE15368
XP_004990085.1	mRNA.RE11196
XP_004990087.1	mRNA.RE08974
XP_004990089.1	mRNA.RE09259
XP_004990093.1	mRNA.RE05298
XP_004990095.1	mRNA.RE09656
XP_004990097.1	mRNA.RE12059
XP_004990098.1	mRNA.RE08645
XP_004990116.1	mRNA.RE03290
XP_004990118.1	mRNA.RE01699
XP_004990119.1	mRNA.RE14117
XP_004990124.1	mRNA.RE15352
XP_004990126.1	mRNA.RE14324
XP_004990128.1	mRNA.RE11408
XP_004990133.1	mRNA.RE14222
XP_004990134.1	mRNA.RE16328
XP_004990136.1	mRNA.RE04106
XP_004990137.1	mRNA.RE16125
XP_004990138.1	mRNA.RE15408
XP_004990139.1	mRNA.RE08158
XP_004990140.1	mRNA.RE02534
XP_004990144.1	mRNA.RE16954
XP_004990146.1	mRNA.RE00895
XP_004990149.1	mRNA.RE13777
XP_004990151.1	mRNA.RE11742
XP_004990165.1	mRNA.RE13567
XP_004990167.1	mRNA.RE15025
XP_004990169.1	mRNA.RE05548
XP_004990174.1	mRNA.RE11607
XP_004990178.1	mRNA.RE14880
XP_004990180.1	mRNA.RE12349
XP_004990182.1	mRNA.RE11132
XP_004990186.1	mRNA.RE05550
XP_004990202.1	mRNA.RE16948
XP_004990209.1	mRNA.RE07345
XP_004990210.1	mRNA.RE11209
XP_004990215.1	mRNA.RE11866
XP_004990222.1	mRNA.RE15500
XP_004990230.1	mRNA.RE15241
XP_004990231.1	mRNA.RE11797
XP_004990232.1	mRNA.RE17022
XP_004990233.1	mRNA.RE07334
XP_004990234.1	mRNA.RE14428
XP_004990238.1	mRNA.RE06451
XP_004990241.1	mRNA.RE09760
XP_004990251.1	mRNA.RE16229
XP_004990252.1	mRNA.RE11347
XP_004990256.1	mRNA.RE11631
XP_004990257.1	mRNA.RE09086
XP_004990261.1	mRNA.RE06219
XP_004990265.1	mRNA.RE01407
XP_004990274.1	mRNA.RE13096
XP_004990276.1	mRNA.RE04422
XP_004990278.1	mRNA.RE02277
XP_004990279.1	mRNA.RE08681
XP_004990281.1	mRNA.RE14526
XP_004990284.1	mRNA.RE15451
XP_004990287.1	mRNA.RE16028
XP_004990288.1	mRNA.RE05983
XP_004990291.1	mRNA.RE15205
XP_004990296.1	mRNA.RE07978
XP_004990299.1	mRNA.RE04209
XP_004990301.1	mRNA.RE15279
XP_004990303.1	mRNA.RE13812
XP_004990305.1	mRNA.RE16400
XP_004990306.1	mRNA.RE12720
XP_004990307.1	mRNA.RE15174
XP_004990308.1	mRNA.RE14073
XP_004990309.1	mRNA.RE14198
XP_004990319.1	mRNA.RE06983
XP_004990322.1	mRNA.RE08260
XP_004990323.1	mRNA.RE11238
XP_004990326.1	mRNA.RE02469
XP_004990327.1	mRNA.RE00969
XP_004990328.1	mRNA.RE08392
XP_004990330.1	mRNA.RE15362
XP_004990333.1	mRNA.RE15208
XP_004990334.1	mRNA.RE11043
XP_004990341.1	mRNA.RE15189
XP_004990342.1	mRNA.RE07877
XP_004990343.1	mRNA.RE05074
XP_004990348.1	mRNA.RE09786
XP_004990355.1	mRNA.RE15118
XP_004990356.1	mRNA.RE04009
XP_004990357.1	mRNA.RE11893
XP_004990358.1	mRNA.RE09885
XP_004990360.1	mRNA.RE05379
XP_004990362.1	mRNA.RE13436
XP_004990369.1	mRNA.RE14577
XP_004990374.1	mRNA.RE14215
XP_004990379.1	mRNA.RE16010
XP_004990382.1	mRNA.RE00930
XP_004990384.1	mRNA.RE03207
XP_004990386.1	mRNA.RE13324
XP_004990393.1	mRNA.RE14569
XP_004990397.1	mRNA.RE03304
XP_004990401.1	mRNA.RE04943
XP_004990404.1	mRNA.RE04284
XP_004990405.1	mRNA.RE06736
XP_004990406.1	mRNA.RE05769
XP_004990409.1	mRNA.RE07083
XP_004990412.1	mRNA.RE10038
XP_004990413.1	mRNA.RE13157
XP_004990414.1	mRNA.RE05053
XP_004990415.1	mRNA.RE14756
XP_004990419.1	mRNA.RE16202
XP_004990420.1	mRNA.RE13538
XP_004990421.1	mRNA.RE14520
XP_004990422.1	mRNA.RE16898
XP_004990423.1	mRNA.RE03840
XP_004990424.1	mRNA.RE15881
XP_004990428.1	mRNA.RE15812
XP_004990429.1	mRNA.RE08022
XP_004990430.1	mRNA.RE01302
XP_004990431.1	mRNA.RE12713
XP_004990432.1	mRNA.RE04467
XP_004990434.1	mRNA.RE13090
XP_004990441.1	mRNA.RE16932
XP_004990443.1	mRNA.RE12283
XP_004990445.1	mRNA.RE14449
XP_004990450.1	mRNA.RE13672
XP_004990452.1	mRNA.RE16785
XP_004990454.1	mRNA.RE07934
XP_004990458.1	mRNA.RE09414
XP_004990461.1	mRNA.RE08068
XP_004990463.1	mRNA.RE11313
XP_004990467.1	mRNA.RE06237
XP_004990468.1	mRNA.RE05906
XP_004990470.1	mRNA.RE09449
XP_004990471.1	mRNA.RE06469
XP_004990476.1	mRNA.RE06556
XP_004990477.1	mRNA.RE09009
XP_004990479.1	mRNA.RE12740
XP_004990481.1	mRNA.RE09640
XP_004990484.1	mRNA.RE07206
XP_004990487.1	mRNA.RE12177
XP_004990489.1	mRNA.RE09559
XP_004990491.1	mRNA.RE10276
XP_004990496.1	mRNA.RE06141
XP_004990498.1	mRNA.RE06673
XP_004990500.1	mRNA.RE14249
XP_004990502.1	mRNA.RE09380
XP_004990503.1	mRNA.RE00900
XP_004990504.1	mRNA.RE09565
XP_004990505.1	mRNA.RE12043
XP_004990511.1	mRNA.RE16341
XP_004990512.1	mRNA.RE01273
XP_004990528.1	mRNA.RE05204
XP_004990529.1	mRNA.RE16424
XP_004990531.1	mRNA.RE04831
XP_004990532.1	mRNA.RE03581
XP_004990535.1	mRNA.RE17069
XP_004990536.1	mRNA.RE09747
XP_004990540.1	mRNA.RE12198
XP_004990541.1	mRNA.RE08057
XP_004990543.1	mRNA.RE13946
XP_004990547.1	mRNA.RE03646
XP_004990558.1	mRNA.RE09919
XP_004990559.1	mRNA.RE09197
XP_004990560.1	mRNA.RE11890
XP_004990561.1	mRNA.RE00088
XP_004990562.1	mRNA.RE10089
XP_004990563.1	mRNA.RE01445
XP_004990567.1	mRNA.RE08264
XP_004990568.1	mRNA.RE15638
XP_004990571.1	mRNA.RE17099
XP_004990572.1	mRNA.RE00867
XP_004990574.1	mRNA.RE08870
XP_004990579.1	mRNA.RE16853
XP_004990580.1	mRNA.RE15995
XP_004990587.1	mRNA.RE09101
XP_004990588.1	mRNA.RE09294
XP_004990589.1	mRNA.RE14123
XP_004990593.1	mRNA.RE11316
XP_004990594.1	mRNA.RE05920
XP_004990595.1	mRNA.RE08257
XP_004990597.1	mRNA.RE06499
XP_004990601.1	mRNA.RE08923
XP_004990604.1	mRNA.RE15514
XP_004990606.1	mRNA.RE10101
XP_004990611.1	mRNA.RE06548
XP_004990613.1	mRNA.RE08173
XP_004990617.1	mRNA.RE08118
XP_004990619.1	mRNA.RE16930
XP_004990620.1	mRNA.RE07862
XP_004990624.1	mRNA.RE11910
XP_004990626.1	mRNA.RE05683
XP_004990632.1	mRNA.RE13514
XP_004990633.1	mRNA.RE04449
XP_004990643.1	mRNA.RE10394
XP_004990646.1	mRNA.RE04205
XP_004990659.1	mRNA.RE00898
XP_004990660.1	mRNA.RE10845
XP_004990662.1	mRNA.RE05274
XP_004990663.1	mRNA.RE17092
XP_004990668.1	mRNA.RE04672
XP_004990669.1	mRNA.RE04515
XP_004990671.1	mRNA.RE16360
XP_004990672.1	mRNA.RE09501
XP_004990675.1	mRNA.RE10208
XP_004990677.1	mRNA.RE04911
XP_004990680.1	mRNA.RE14822
XP_004990681.1	mRNA.RE04502
XP_004990683.1	mRNA.RE13248
XP_004990689.1	mRNA.RE04394
XP_004990692.1	mRNA.RE15455
XP_004990693.1	mRNA.RE15544
XP_004990697.1	mRNA.RE13947
XP_004990703.1	mRNA.RE09301
XP_004990704.1	mRNA.RE00506
XP_004990707.1	mRNA.RE04699
XP_004990709.1	mRNA.RE13006
XP_004990710.1	mRNA.RE12712
XP_004990712.1	mRNA.RE09258
XP_004990715.1	mRNA.RE04383
XP_004990716.1	mRNA.RE12184
XP_004990717.1	mRNA.RE07915
XP_004990719.1	mRNA.RE16273
XP_004990732.1	mRNA.RE02644
XP_004990734.1	mRNA.RE07196
XP_004990737.1	mRNA.RE03859
XP_004990739.1	mRNA.RE11924
XP_004990742.1	mRNA.RE01793
XP_004990743.1	mRNA.RE05940
XP_004990747.1	mRNA.RE08679
XP_004990750.1	mRNA.RE11580
XP_004990755.1	mRNA.RE04039
XP_004990757.1	mRNA.RE12221
XP_004990761.1	mRNA.RE00132
XP_004990768.1	mRNA.RE12824
XP_004990769.1	mRNA.RE12171
XP_004990770.1	mRNA.RE04860
XP_004990771.1	mRNA.RE01973
XP_004990775.1	mRNA.RE11122
XP_004990776.1	mRNA.RE14486
XP_004990785.1	mRNA.RE15140
XP_004990788.1	mRNA.RE02009
XP_004990790.1	mRNA.RE16004
XP_004990792.1	mRNA.RE13316
XP_004990793.1	mRNA.RE13985
XP_004990798.1	mRNA.RE15194
XP_004990800.1	mRNA.RE13986
XP_004990805.1	mRNA.RE10514
XP_004990806.1	mRNA.RE16836
XP_004990807.1	mRNA.RE15272
XP_004990808.1	mRNA.RE14119
XP_004990811.1	mRNA.RE13292
XP_004990813.1	mRNA.RE09921
XP_004990814.1	mRNA.RE13162
XP_004990818.1	mRNA.RE05969
XP_004990824.1	mRNA.RE02521
XP_004990833.1	mRNA.RE01852
XP_004990834.1	mRNA.RE13066
XP_004990835.1	mRNA.RE03070
XP_004990839.1	mRNA.RE07276
XP_004990840.1	mRNA.RE07996
XP_004990841.1	mRNA.RE16189
XP_004990842.1	mRNA.RE06007
XP_004990845.1	mRNA.RE14430
XP_004990846.1	mRNA.RE15401
XP_004990847.1	mRNA.RE06722
XP_004990848.1	mRNA.RE14849
XP_004990849.1	mRNA.RE15520
XP_004990850.1	mRNA.RE08684
XP_004990851.1	mRNA.RE14177
XP_004990853.1	mRNA.RE05242
XP_004990858.1	mRNA.RE03612
XP_004990863.1	mRNA.RE02106
XP_004990865.1	mRNA.RE09581
XP_004990869.1	mRNA.RE08582
XP_004990871.1	mRNA.RE13891
XP_004990872.1	mRNA.RE14089
XP_004990877.1	mRNA.RE09669
XP_004990878.1	mRNA.RE05984
XP_004990881.1	mRNA.RE14652
XP_004990884.1	mRNA.RE06137
XP_004990885.1	mRNA.RE13194
XP_004990887.1	mRNA.RE00929
XP_004990896.1	mRNA.RE05165
XP_004990897.1	mRNA.RE17135
XP_004990902.1	mRNA.RE13039
XP_004990903.1	mRNA.RE13898
XP_004990905.1	mRNA.RE06103
XP_004990906.1	mRNA.RE06385
XP_004990911.1	mRNA.RE13914
XP_004990913.1	mRNA.RE09488
XP_004990914.1	mRNA.RE09364
XP_004990915.1	mRNA.RE05445
XP_004990916.1	mRNA.RE04062
XP_004990922.1	mRNA.RE08217
XP_004990928.1	mRNA.RE07016
XP_004990929.1	mRNA.RE05775
XP_004990931.1	mRNA.RE10844
XP_004990932.1	mRNA.RE02472
XP_004990933.1	mRNA.RE13586
XP_004990934.1	mRNA.RE07349
XP_004990935.1	mRNA.RE11578
XP_004990936.1	mRNA.RE02495
XP_004990945.1	mRNA.RE13958
XP_004990951.1	mRNA.RE15557
XP_004990956.1	mRNA.RE14069
XP_004990957.1	mRNA.RE10403
XP_004990965.1	mRNA.RE14560
XP_004990969.1	mRNA.RE06741
XP_004990974.1	mRNA.RE14416
XP_004990976.1	mRNA.RE11402
XP_004990979.1	mRNA.RE11208
XP_004990984.1	mRNA.RE13339
XP_004990987.1	mRNA.RE00649
XP_004990989.1	mRNA.RE14942
XP_004990991.1	mRNA.RE13911
XP_004990994.1	mRNA.RE11838
XP_004990996.1	mRNA.RE12714
XP_004990998.1	mRNA.RE04952
XP_004990999.1	mRNA.RE01641
XP_004991000.1	mRNA.RE05260
XP_004991005.1	mRNA.RE08352
XP_004991006.1	mRNA.RE08943
XP_004991008.1	mRNA.RE04226
XP_004991010.1	mRNA.RE15600
XP_004991012.1	mRNA.RE05563
XP_004991018.1	mRNA.RE10173
XP_004991023.1	mRNA.RE06982
XP_004991028.1	mRNA.RE07112
XP_004991029.1	mRNA.RE03574
XP_004991030.1	mRNA.RE03155
XP_004991031.1	mRNA.RE06191
XP_004991034.1	mRNA.RE03597
XP_004991035.1	mRNA.RE16565
XP_004991037.1	mRNA.RE16661
XP_004991038.1	mRNA.RE03296
XP_004991039.1	mRNA.RE08698
XP_004991040.1	mRNA.RE09328
XP_004991041.1	mRNA.RE14950
XP_004991044.1	mRNA.RE07008
XP_004991046.1	mRNA.RE16985
XP_004991047.1	mRNA.RE15046
XP_004991048.1	mRNA.RE02477
XP_004991052.1	mRNA.RE05029
XP_004991054.1	mRNA.RE13103
XP_004991056.1	mRNA.RE10192
XP_004991058.1	mRNA.RE07367
XP_004991059.1	mRNA.RE10855
XP_004991061.1	mRNA.RE09146
XP_004991063.1	mRNA.RE11615
XP_004991065.1	mRNA.RE15970
XP_004991071.1	mRNA.RE13430
XP_004991073.1	mRNA.RE10144
XP_004991074.1	mRNA.RE14615
XP_004991077.1	mRNA.RE07754
XP_004991079.1	mRNA.RE16819
XP_004991081.1	mRNA.RE07746
XP_004991084.1	mRNA.RE16550
XP_004991085.1	mRNA.RE08758
XP_004991086.1	mRNA.RE02306
XP_004991098.1	mRNA.RE03582
XP_004991099.1	mRNA.RE03916
XP_004991101.1	mRNA.RE02949
XP_004991102.1	mRNA.RE14907
XP_004991105.1	mRNA.RE02538
XP_004991107.1	mRNA.RE02924
XP_004991108.1	mRNA.RE06482
XP_004991110.1	mRNA.RE04292
XP_004991111.1	mRNA.RE08987
XP_004991113.1	mRNA.RE09516
XP_004991115.1	mRNA.RE13630
XP_004991116.1	mRNA.RE07326
XP_004991118.1	mRNA.RE03938
XP_004991119.1	mRNA.RE10643
XP_004991122.1	mRNA.RE13116
XP_004991123.1	mRNA.RE13381
XP_004991124.1	mRNA.RE10933
XP_004991125.1	mRNA.RE11885
XP_004991127.1	mRNA.RE02994
XP_004991129.1	mRNA.RE04741
XP_004991130.1	mRNA.RE03529
XP_004991133.1	mRNA.RE12119
XP_004991135.1	mRNA.RE13999
XP_004991138.1	mRNA.RE11681
XP_004991141.1	mRNA.RE16571
XP_004991142.1	mRNA.RE10983
XP_004991143.1	mRNA.RE13572
XP_004991144.1	mRNA.RE12375
XP_004991146.1	mRNA.RE16345
XP_004991147.1	mRNA.RE07332
XP_004991148.1	mRNA.RE14980
XP_004991150.1	mRNA.RE14468
XP_004991152.1	mRNA.RE06569
XP_004991154.1	mRNA.RE05188
XP_004991161.1	mRNA.RE14960
XP_004991162.1	mRNA.RE10445
XP_004991163.1	mRNA.RE16292
XP_004991164.1	mRNA.RE05546
XP_004991166.1	mRNA.RE01265
XP_004991172.1	mRNA.RE06861
XP_004991173.1	mRNA.RE13254
XP_004991174.1	mRNA.RE01628
XP_004991177.1	mRNA.RE11432
XP_004991181.1	mRNA.RE16583
XP_004991182.1	mRNA.RE00409
XP_004991185.1	mRNA.RE14946
XP_004991187.1	mRNA.RE11382
XP_004991190.1	mRNA.RE16713
XP_004991193.1	mRNA.RE04058
XP_004991205.1	mRNA.RE05880
XP_004991207.1	mRNA.RE05173
XP_004991209.1	mRNA.RE17082
XP_004991211.1	mRNA.RE14064
XP_004991215.1	mRNA.RE05051
XP_004991217.1	mRNA.RE13310
XP_004991219.1	mRNA.RE16479
XP_004991225.1	mRNA.RE06214
XP_004991226.1	mRNA.RE09248
XP_004991230.1	mRNA.RE09147
XP_004991240.1	mRNA.RE07909
XP_004991241.1	mRNA.RE14911
XP_004991242.1	mRNA.RE10257
XP_004991247.1	mRNA.RE04318
XP_004991249.1	mRNA.RE03096
XP_004991253.1	mRNA.RE06652
XP_004991256.1	mRNA.RE09552
XP_004991258.1	mRNA.RE15052
XP_004991259.1	mRNA.RE02966
XP_004991267.1	mRNA.RE08143
XP_004991277.1	mRNA.RE07491
XP_004991278.1	mRNA.RE08671
XP_004991280.1	mRNA.RE09731
XP_004991286.1	mRNA.RE12910
XP_004991291.1	mRNA.RE11158
XP_004991292.1	mRNA.RE08150
XP_004991294.1	mRNA.RE12705
XP_004991296.1	mRNA.RE05065
XP_004991317.1	mRNA.RE02428
XP_004991318.1	mRNA.RE10612
XP_004991320.1	mRNA.RE07228
XP_004991324.1	mRNA.RE10366
XP_004991325.1	mRNA.RE15777
XP_004991328.1	mRNA.RE01432
XP_004991329.1	mRNA.RE12603
XP_004991331.1	mRNA.RE13740
XP_004991332.1	mRNA.RE13333
XP_004991333.1	mRNA.RE09339
XP_004991341.1	mRNA.RE09859
XP_004991342.1	mRNA.RE11427
XP_004991351.1	mRNA.RE09372
XP_004991353.1	mRNA.RE07538
XP_004991355.1	mRNA.RE08595
XP_004991356.1	mRNA.RE14323
XP_004991358.1	mRNA.RE07675
XP_004991362.1	mRNA.RE14307
XP_004991363.1	mRNA.RE13729
XP_004991366.1	mRNA.RE00484
XP_004991367.1	mRNA.RE12601
XP_004991368.1	mRNA.RE09453
XP_004991369.1	mRNA.RE13716
XP_004991376.1	mRNA.RE14891
XP_004991381.1	mRNA.RE02144
XP_004991384.1	mRNA.RE14720
XP_004991389.1	mRNA.RE05382
XP_004991394.1	mRNA.RE14531
XP_004991395.1	mRNA.RE05533
XP_004991400.1	mRNA.RE00995
XP_004991404.1	mRNA.RE12778
XP_004991406.1	mRNA.RE05856
XP_004991407.1	mRNA.RE01174
XP_004991408.1	mRNA.RE08703
XP_004991409.1	mRNA.RE01096
XP_004991410.1	mRNA.RE03371
XP_004991412.1	mRNA.RE13385
XP_004991414.1	mRNA.RE15899
XP_004991417.1	mRNA.RE10498
XP_004991420.1	mRNA.RE14313
XP_004991421.1	mRNA.RE11276
XP_004991422.1	mRNA.RE12345
XP_004991423.1	mRNA.RE15523
XP_004991427.1	mRNA.RE16727
XP_004991433.1	mRNA.RE07445
XP_004991434.1	mRNA.RE08110
XP_004991435.1	mRNA.RE03236
XP_004991438.1	mRNA.RE07030
XP_004991441.1	mRNA.RE01806
XP_004991445.1	mRNA.RE04948
XP_004991448.1	mRNA.RE06135
XP_004991454.1	mRNA.RE14442
XP_004991458.1	mRNA.RE02927
XP_004991459.1	mRNA.RE13397
XP_004991460.1	mRNA.RE04038
XP_004991461.1	mRNA.RE05254
XP_004991463.1	mRNA.RE09819
XP_004991464.1	mRNA.RE14398
XP_004991467.1	mRNA.RE04985
XP_004991468.1	mRNA.RE06732
XP_004991470.1	mRNA.RE08708
XP_004991473.1	mRNA.RE04212
XP_004991474.1	mRNA.RE12287
XP_004991476.1	mRNA.RE12965
XP_004991477.1	mRNA.RE10337
XP_004991479.1	mRNA.RE00914
XP_004991480.1	mRNA.RE06508
XP_004991482.1	mRNA.RE04897
XP_004991483.1	mRNA.RE13393
XP_004991485.1	mRNA.RE14572
XP_004991487.1	mRNA.RE02958
XP_004991488.1	mRNA.RE13738
XP_004991489.1	mRNA.RE11642
XP_004991491.1	mRNA.RE06494
XP_004991493.1	mRNA.RE03541
XP_004991500.1	mRNA.RE14679
XP_004991503.1	mRNA.RE11068
XP_004991506.1	mRNA.RE03536
XP_004991507.1	mRNA.RE08605
XP_004991509.1	mRNA.RE05933
XP_004991510.1	mRNA.RE01712
XP_004991511.1	mRNA.RE01180
XP_004991516.1	mRNA.RE15014
XP_004991521.1	mRNA.RE16155
XP_004991522.1	mRNA.RE09255
XP_004991523.1	mRNA.RE03058
XP_004991525.1	mRNA.RE14370
XP_004991528.1	mRNA.RE13817
XP_004991530.1	mRNA.RE07301
XP_004991531.1	mRNA.RE12663
XP_004991532.1	mRNA.RE00205
XP_004991533.1	mRNA.RE04333
XP_004991536.1	mRNA.RE04166
XP_004991538.1	mRNA.RE01735
XP_004991539.1	mRNA.RE07561
XP_004991549.1	mRNA.RE11199
XP_004991550.1	mRNA.RE12207
XP_004991552.1	mRNA.RE08937
XP_004991554.1	mRNA.RE09558
XP_004991562.1	mRNA.RE13945
XP_004991563.1	mRNA.RE07983
XP_004991565.1	mRNA.RE09205
XP_004991566.1	mRNA.RE04885
XP_004991572.1	mRNA.RE08102
XP_004991574.1	mRNA.RE15653
XP_004991575.1	mRNA.RE05832
XP_004991579.1	mRNA.RE05095
XP_004991583.1	mRNA.RE05540
XP_004991584.1	mRNA.RE02900
XP_004991585.1	mRNA.RE13565
XP_004991593.1	mRNA.RE11028
XP_004991594.1	mRNA.RE06555
XP_004991598.1	mRNA.RE01828
XP_004991602.1	mRNA.RE08511
XP_004991603.1	mRNA.RE10752
XP_004991609.1	mRNA.RE11324
XP_004991610.1	mRNA.RE14114
XP_004991613.1	mRNA.RE06554
XP_004991614.1	mRNA.RE09695
XP_004991619.1	mRNA.RE03985
XP_004991620.1	mRNA.RE07980
XP_004991628.1	mRNA.RE11618
XP_004991629.1	mRNA.RE09711
XP_004991631.1	mRNA.RE01889
XP_004991632.1	mRNA.RE13548
XP_004991636.1	mRNA.RE00287
XP_004991638.1	mRNA.RE02850
XP_004991640.1	mRNA.RE10623
XP_004991644.1	mRNA.RE03374
XP_004991656.1	mRNA.RE14005
XP_004991657.1	mRNA.RE11411
XP_004991659.1	mRNA.RE04021
XP_004991669.1	mRNA.RE01817
XP_004991671.1	mRNA.RE10307
XP_004991673.1	mRNA.RE13638
XP_004991674.1	mRNA.RE10517
XP_004991677.1	mRNA.RE15566
XP_004991679.1	mRNA.RE05362
XP_004991683.1	mRNA.RE05086
XP_004991688.1	mRNA.RE10258
XP_004991690.1	mRNA.RE12350
XP_004991691.1	mRNA.RE15658
XP_004991692.1	mRNA.RE12413
XP_004991695.1	mRNA.RE17097
XP_004991697.1	mRNA.RE00804
XP_004991698.1	mRNA.RE06534
XP_004991707.1	mRNA.RE14528
XP_004991711.1	mRNA.RE02999
XP_004991712.1	mRNA.RE16348
XP_004991714.1	mRNA.RE17067
XP_004991716.1	mRNA.RE06204
XP_004991717.1	mRNA.RE10758
XP_004991725.1	mRNA.RE14966
XP_004991730.1	mRNA.RE01961
XP_004991731.1	mRNA.RE17084
XP_004991733.1	mRNA.RE02091
XP_004991734.1	mRNA.RE10614
XP_004991735.1	mRNA.RE16950
XP_004991736.1	mRNA.RE17076
XP_004991739.1	mRNA.RE16195
XP_004991741.1	mRNA.RE14201
XP_004991745.1	mRNA.RE05104
XP_004991746.1	mRNA.RE16187
XP_004991748.1	mRNA.RE08659
XP_004991754.1	mRNA.RE05740
XP_004991759.1	mRNA.RE11679
XP_004991760.1	mRNA.RE08240
XP_004991761.1	mRNA.RE03472
XP_004991763.1	mRNA.RE09504
XP_004991764.1	mRNA.RE10637
XP_004991767.1	mRNA.RE03800
XP_004991768.1	mRNA.RE10141
XP_004991769.1	mRNA.RE17105
XP_004991790.1	mRNA.RE12420
XP_004991793.1	mRNA.RE00293
XP_004991794.1	mRNA.RE09236
XP_004991795.1	mRNA.RE12377
XP_004991798.1	mRNA.RE08111
XP_004991817.1	mRNA.RE12602
XP_004991825.1	mRNA.RE08578
XP_004991826.1	mRNA.RE13727
XP_004991829.1	mRNA.RE02048
XP_004991830.1	mRNA.RE14586
XP_004991831.1	mRNA.RE00048
XP_004991832.1	mRNA.RE01431
XP_004991833.1	mRNA.RE02139
XP_004991836.1	mRNA.RE00787
XP_004991837.1	mRNA.RE09348
XP_004991839.1	mRNA.RE12486
XP_004991840.1	mRNA.RE03610
XP_004991841.1	mRNA.RE10769
XP_004991842.1	mRNA.RE00802
XP_004991843.1	mRNA.RE14710
XP_004991844.1	mRNA.RE02618
XP_004991846.1	mRNA.RE08327
XP_004991847.1	mRNA.RE07887
XP_004991848.1	mRNA.RE16116
XP_004991850.1	mRNA.RE10236
XP_004991851.1	mRNA.RE04099
XP_004991864.1	mRNA.RE09978
XP_004991870.1	mRNA.RE13751
XP_004991876.1	mRNA.RE05680
XP_004991877.1	mRNA.RE13843
XP_004991878.1	mRNA.RE11803
XP_004991879.1	mRNA.RE10640
XP_004991880.1	mRNA.RE05471
XP_004991881.1	mRNA.RE02840
XP_004991884.1	mRNA.RE09476
XP_004991885.1	mRNA.RE09353
XP_004991886.1	mRNA.RE04331
XP_004991890.1	mRNA.RE09790
XP_004991892.1	mRNA.RE11021
XP_004991894.1	mRNA.RE10492
XP_004991895.1	mRNA.RE05895
XP_004991898.1	mRNA.RE14208
XP_004991908.1	mRNA.RE15351
XP_004991909.1	mRNA.RE00923
XP_004991913.1	mRNA.RE06977
XP_004991915.1	mRNA.RE12140
XP_004991917.1	mRNA.RE10182
XP_004991919.1	mRNA.RE10897
XP_004991922.1	mRNA.RE15393
XP_004991930.1	mRNA.RE16204
XP_004991931.1	mRNA.RE13249
XP_004991935.1	mRNA.RE09003
XP_004991936.1	mRNA.RE02447
XP_004991937.1	mRNA.RE10679
XP_004991939.1	mRNA.RE16646
XP_004991941.1	mRNA.RE16919
XP_004991946.1	mRNA.RE01854
XP_004991948.1	mRNA.RE15217
XP_004991949.1	mRNA.RE11022
XP_004991950.1	mRNA.RE06017
XP_004991952.1	mRNA.RE13130
XP_004991953.1	mRNA.RE09679
XP_004991959.1	mRNA.RE08608
XP_004991961.1	mRNA.RE09292
XP_004991963.1	mRNA.RE12753
XP_004991966.1	mRNA.RE00799
XP_004991968.1	mRNA.RE15973
XP_004991969.1	mRNA.RE07279
XP_004991970.1	mRNA.RE08299
XP_004991974.1	mRNA.RE16654
XP_004991975.1	mRNA.RE14795
XP_004991976.1	mRNA.RE07270
XP_004991981.1	mRNA.RE12127
XP_004991987.1	mRNA.RE12584
XP_004991988.1	mRNA.RE16319
XP_004991989.1	mRNA.RE16101
XP_004991990.1	mRNA.RE05196
XP_004991991.1	mRNA.RE02842
XP_004991994.1	mRNA.RE08275
XP_004992001.1	mRNA.RE01815
XP_004992004.1	mRNA.RE10963
XP_004992006.1	mRNA.RE13180
XP_004992007.1	mRNA.RE02141
XP_004992008.1	mRNA.RE11733
XP_004992009.1	mRNA.RE09803
XP_004992010.1	mRNA.RE02051
XP_004992012.1	mRNA.RE05412
XP_004992013.1	mRNA.RE16030
XP_004992020.1	mRNA.RE12849
XP_004992022.1	mRNA.RE04272
XP_004992024.1	mRNA.RE05579
XP_004992027.1	mRNA.RE11388
XP_004992028.1	mRNA.RE01388
XP_004992029.1	mRNA.RE17018
XP_004992032.1	mRNA.RE12112
XP_004992033.1	mRNA.RE16311
XP_004992038.1	mRNA.RE13544
XP_004992039.1	mRNA.RE03731
XP_004992045.1	mRNA.RE04142
XP_004992046.1	mRNA.RE03810
XP_004992048.1	mRNA.RE12193
XP_004992050.1	mRNA.RE00924
XP_004992055.1	mRNA.RE15299
XP_004992056.1	mRNA.RE17087
XP_004992058.1	mRNA.RE16118
XP_004992059.1	mRNA.RE14522
XP_004992060.1	mRNA.RE01053
XP_004992063.1	mRNA.RE03947
XP_004992065.1	mRNA.RE03043
XP_004992070.1	mRNA.RE16153
XP_004992071.1	mRNA.RE11290
XP_004992073.1	mRNA.RE07271
XP_004992075.1	mRNA.RE05243
XP_004992076.1	mRNA.RE05862
XP_004992078.1	mRNA.RE01892
