XP_004987445.1	Hcv1.av93.c2.g1361.i1
XP_004989703.1	Hcv1.av93.c2.g962.i1
XP_004989704.1	Hcv1.av93.c8.g906.i1
XP_004989705.1	Hcv1.av93.c4.g761.i1
XP_004989708.1	Hcv1.av93.c8.g409.i1
XP_004989716.1	Hcv1.av93.c2.g532.i1
XP_004989718.1	Hcv1.av93.c8.g893.i1
XP_004989719.1	Hcv1.av93.c8.g778.i1
XP_004989721.1	Hcv1.av93.c10.g630.i1
XP_004989722.1	Hcv1.av93.c12.g338.i1
XP_004989732.1	Hcv1.av93.c9.g16.i1
XP_004989734.1	Hcv1.av93.c9.g447.i2
XP_004989749.1	Hcv1.av93.c2.g117.i1
XP_004989751.1	Hcv1.av93.c9.g742.i1
XP_004989752.1	Hcv1.av93.c9.g57.i1
XP_004989754.1	Hcv1.av93.c3.g662.i5
XP_004989756.1	Hcv1.av93.c1.g432.i1
XP_004989759.1	Hcv1.av93.c2.g1143.i1
XP_004989765.1	Hcv1.av93.c9.g223.i1
XP_004989766.1	Hcv1.av93.c9.g31.i1
XP_004989770.1	Hcv1.av93.c5.g107.i1
XP_004989778.1	Hcv1.av93.c11.g503.i1
XP_004989790.1	Hcv1.av93.c9.g78.i2
XP_004989798.1	Hcv1.av93.c2.g584.i1
XP_004989799.1	Hcv1.av93.c8.g494.i1
XP_004989801.1	Hcv1.av93.c11.g1015.i1
XP_004989806.1	Hcv1.av93.c3.g598.i1
XP_004989807.1	Hcv1.av93.c2.g725.i1
XP_004989808.1	Hcv1.av93.c3.g893.i1
XP_004989810.1	Hcv1.av93.c7.g964.i1
XP_004989813.1	Hcv1.av93.c3.g845.i1
XP_004989820.1	Hcv1.av93.c7.g285.i1
XP_004989824.1	Hcv1.av93.c8.g803.i1
XP_004989828.1	Hcv1.av93.c3.g755.i1
XP_004989840.1	Hcv1.av93.c7.g277.i1
XP_004989841.1	Hcv1.av93.c12.g540.i1
XP_004989852.1	Hcv1.av93.c6.g757.i1
XP_004989853.1	Hcv1.av93.c9.g825.i1
XP_004989856.1	Hcv1.av93.c6.g829.i1
XP_004989859.1	Hcv1.av93.c3.g933.i1
XP_004989862.1	Hcv1.av93.c1.g1025.i1
XP_004989868.1	Hcv1.av93.c6.g529.i1
XP_004989873.1	Hcv1.av93.c9.g626.i1
XP_004989874.1	Hcv1.av93.c4.g688.i1
XP_004989878.1	Hcv1.av93.c7.g74.i1
XP_004989879.1	Hcv1.av93.c3.g1113.i1
XP_004989888.1	Hcv1.av93.c3.g282.i1
XP_004989900.1	Hcv1.av93.c7.g466.i1
XP_004989902.1	Hcv1.av93.c1.g897.i1
XP_004989908.1	Hcv1.av93.c3.g614.i1
XP_004989910.1	Hcv1.av93.c12.g559.i1
XP_004989912.1	Hcv1.av93.c9.g111.i1
XP_004989914.1	Hcv1.av93.c10.g517.i1
XP_004989915.1	Hcv1.av93.c4.g332.i1
XP_004989917.1	Hcv1.av93.c2.g251.i2
XP_004989919.1	Hcv1.av93.c7.g173.i1
XP_004989920.1	Hcv1.av93.c1.g128.i1
XP_004989928.1	Hcv1.av93.c6.g983.i1
XP_004989929.1	Hcv1.av93.c1.g340.i1
XP_004989931.1	Hcv1.av93.c13.g176.i2
XP_004989936.1	Hcv1.av93.c10.g701.i5
XP_004989937.1	Hcv1.av93.c9.g702.i1
XP_004989938.1	Hcv1.av93.c3.g1038.i2
XP_004989939.1	Hcv1.av93.c5.g511.i1
XP_004989940.1	Hcv1.av93.c6.g1235.i1
XP_004989941.1	Hcv1.av93.c8.g208.i1
XP_004989943.1	Hcv1.av93.c5.g1198.i1
XP_004989944.1	Hcv1.av93.c6.g1013.i1
XP_004989945.1	Hcv1.av93.c6.g690.i1
XP_004989947.1	Hcv1.av93.c6.g398.i1
XP_004989948.1	Hcv1.av93.c4.g91.i1
XP_004989952.1	Hcv1.av93.c5.g1298.i1
XP_004989964.1	Hcv1.av93.c6.g998.i1
XP_004989965.1	Hcv1.av93.c12.g159.i1
XP_004989969.1	Hcv1.av93.c8.g960.i2
XP_004989970.1	Hcv1.av93.c2.g769.i2
XP_004989971.1	Hcv1.av93.c8.g597.i1
XP_004989973.1	Hcv1.av93.c9.g197.i1
XP_004989975.1	Hcv1.av93.c9.g817.i1
XP_004989983.1	Hcv1.av93.c5.g244.i1
XP_004989993.1	Hcv1.av93.c3.g855.i1
XP_004989995.1	Hcv1.av93.c6.g602.i3
XP_004989997.1	Hcv1.av93.c8.g408.i1
XP_004990002.1	Hcv1.av93.c11.g886.i1
XP_004990003.1	Hcv1.av93.c4.g451.i1
XP_004990010.1	Hcv1.av93.c5.g418.i1
XP_004990011.1	Hcv1.av93.c10.g375.i1
XP_004990013.1	Hcv1.av93.c7.g591.i1
XP_004990017.1	Hcv1.av93.c1.g922.i1
XP_004990019.1	Hcv1.av93.c5.g687.i1
XP_004990020.1	Hcv1.av93.c8.g821.i1
XP_004990022.1	Hcv1.av93.c6.g958.i1
XP_004990023.1	Hcv1.av93.c10.g250.i2
XP_004990027.1	Hcv1.av93.c8.g325.i1
XP_004990035.1	Hcv1.av93.c10.g229.i1
XP_004990038.1	Hcv1.av93.c2.g451.i1
XP_004990046.1	Hcv1.av93.c6.g603.i1
XP_004990047.1	Hcv1.av93.c2.g483.i1
XP_004990052.1	Hcv1.av93.c4.g372.i1
XP_004990055.1	Hcv1.av93.c11.g440.i2
XP_004990062.1	Hcv1.av93.c11.g198.i1
XP_004990066.1	Hcv1.av93.c1.g459.i1
XP_004990068.1	Hcv1.av93.c2.g1539.i2
XP_004990075.1	Hcv1.av93.c6.g1200.i2
XP_004990080.1	Hcv1.av93.c9.g261.i1
XP_004990081.1	Hcv1.av93.c11.g246.i1
XP_004990082.1	Hcv1.av93.c5.g1054.i1
XP_004990084.1	Hcv1.av93.c10.g38.i3
XP_004990085.1	Hcv1.av93.c3.g545.i1
XP_004990087.1	Hcv1.av93.c8.g315.i1
XP_004990089.1	Hcv1.av93.c13.g37.i1
XP_004990095.1	Hcv1.av93.c7.g294.i2
XP_004990097.1	Hcv1.av93.c2.g238.i1
XP_004990098.1	Hcv1.av93.c10.g20.i1
XP_004990118.1	Hcv1.av93.c7.g308.i1
XP_004990119.1	Hcv1.av93.c7.g895.i1
XP_004990124.1	Hcv1.av93.c2.g672.i1
XP_004990128.1	Hcv1.av93.c8.g130.i1
XP_004990133.1	Hcv1.av93.c2.g295.i1
XP_004990134.1	Hcv1.av93.c2.g979.i1
XP_004990135.1	Hcv1.av93.c10.g483.i1
XP_004990136.1	Hcv1.av93.c2.g557.i1
XP_004990137.1	Hcv1.av93.c6.g993.i1
XP_004990138.1	Hcv1.av93.c11.g802.i1
XP_004990139.1	Hcv1.av93.c2.g184.i1
XP_004990140.1	Hcv1.av93.c10.g551.i1
XP_004990144.1	Hcv1.av93.c9.g423.i1
XP_004990146.1	Hcv1.av93.c4.g670.i1
XP_004990151.1	Hcv1.av93.c11.g529.i1
XP_004990156.1	Hcv1.av93.c5.g1308.i1
XP_004990165.1	Hcv1.av93.c2.g1165.i1
XP_004990168.1	Hcv1.av93.c11.g128.i1
XP_004990169.1	Hcv1.av93.c6.g23.i1
XP_004990173.1	Hcv1.av93.c10.g91.i1
XP_004990174.1	Hcv1.av93.c7.g312.i1
XP_004990180.1	Hcv1.av93.c1.g1127.i1
XP_004990186.1	Hcv1.av93.c7.g1070.i1
XP_004990202.1	Hcv1.av93.c3.g608.i1
XP_004990209.1	Hcv1.av93.c3.g834.i1
XP_004990210.1	Hcv1.av93.c8.g356.i1
XP_004990222.1	Hcv1.av93.c2.g610.i1
XP_004990230.1	Hcv1.av93.c1.g247.i2
XP_004990231.1	Hcv1.av93.c11.g570.i1
XP_004990232.1	Hcv1.av93.c4.g667.i1
XP_004990234.1	Hcv1.av93.c12.g491.i1
XP_004990238.1	Hcv1.av93.c6.g222.i1
XP_004990241.1	Hcv1.av93.c2.g163.i1
XP_004990246.1	Hcv1.av93.c1.g1052.i1
XP_004990251.1	Hcv1.av93.c11.g110.i2
XP_004990252.1	Hcv1.av93.c2.g1256.i1
XP_004990254.1	Hcv1.av93.c11.g267.i1
XP_004990256.1	Hcv1.av93.c11.g1031.i1
XP_004990257.1	Hcv1.av93.c7.g347.i1
XP_004990261.1	Hcv1.av93.c10.g45.i1
XP_004990274.1	Hcv1.av93.c2.g1634.i1
XP_004990276.1	Hcv1.av93.c8.g972.i1
XP_004990278.1	Hcv1.av93.c2.g1184.i1
XP_004990279.1	Hcv1.av93.c7.g590.i1
XP_004990281.1	Hcv1.av93.c5.g521.i1
XP_004990284.1	Hcv1.av93.c1.g1232.i1
XP_004990287.1	Hcv1.av93.c1.g992.i1
XP_004990288.1	Hcv1.av93.c2.g1150.i1
XP_004990291.1	Hcv1.av93.c1.g626.i1
XP_004990296.1	Hcv1.av93.c5.g348.i1
XP_004990299.1	Hcv1.av93.c5.g407.i1
XP_004990301.1	Hcv1.av93.c6.g1067.i1
XP_004990303.1	Hcv1.av93.c10.g524.i1
XP_004990305.1	Hcv1.av93.c2.g928.i1
XP_004990306.1	Hcv1.av93.c7.g721.i1
XP_004990307.1	Hcv1.av93.c7.g303.i1
XP_004990308.1	Hcv1.av93.c10.g629.i1
XP_004990309.1	Hcv1.av93.c3.g1033.i1
XP_004990319.1	Hcv1.av93.c3.g967.i1
XP_004990320.1	Hcv1.av93.c6.g784.i1
XP_004990322.1	Hcv1.av93.c12.g487.i1
XP_004990323.1	Hcv1.av93.c1.g453.i3
XP_004990324.1	Hcv1.av93.c2.g380.i2
XP_004990326.1	Hcv1.av93.c4.g732.i1
XP_004990327.1	Hcv1.av93.c4.g876.i1
XP_004990328.1	Hcv1.av93.c2.g821.i1
XP_004990333.1	Hcv1.av93.c1.g280.i1
XP_004990334.1	Hcv1.av93.c10.g749.i2
XP_004990342.1	Hcv1.av93.c5.g835.i3
XP_004990343.1	Hcv1.av93.c3.g813.i3
XP_004990348.1	Hcv1.av93.c3.g754.i1
XP_004990354.1	Hcv1.av93.c11.g560.i1
XP_004990355.1	Hcv1.av93.c5.g959.i1
XP_004990356.1	Hcv1.av93.c8.g963.i1
XP_004990357.1	Hcv1.av93.c8.g913.i1
XP_004990358.1	Hcv1.av93.c3.g735.i1
XP_004990360.1	Hcv1.av93.c2.g783.i1
XP_004990362.1	Hcv1.av93.c7.g6.i1
XP_004990371.1	Hcv1.av93.c3.g101.i1
XP_004990374.1	Hcv1.av93.c6.g606.i1
XP_004990379.1	Hcv1.av93.c11.g737.i1
XP_004990382.1	Hcv1.av93.c3.g736.i2
XP_004990385.1	Hcv1.av93.c5.g157.i1
XP_004990393.1	Hcv1.av93.c8.g383.i1
XP_004990394.1	Hcv1.av93.c2.g159.i1
XP_004990397.1	Hcv1.av93.c6.g332.i1
XP_004990401.1	Hcv1.av93.c8.g639.i1
XP_004990404.1	Hcv1.av93.c7.g565.i1
XP_004990405.1	Hcv1.av93.c9.g309.i1
XP_004990406.1	Hcv1.av93.c3.g977.i1
XP_004990409.1	Hcv1.av93.c9.g668.i1
XP_004990412.1	Hcv1.av93.c2.g701.i1
XP_004990413.1	Hcv1.av93.c7.g780.i1
XP_004990414.1	Hcv1.av93.c9.g374.i2
XP_004990419.1	Hcv1.av93.c3.g181.i1
XP_004990421.1	Hcv1.av93.c1.g148.i1
XP_004990424.1	Hcv1.av93.c6.g292.i1
XP_004990428.1	Hcv1.av93.c2.g388.i1
XP_004990429.1	Hcv1.av93.c10.g284.i1
XP_004990431.1	Hcv1.av93.c2.g1626.i1
XP_004990432.1	Hcv1.av93.c8.g877.i1
XP_004990441.1	Hcv1.av93.c6.g1176.i1
XP_004990443.1	Hcv1.av93.c8.g608.i1
XP_004990444.1	Hcv1.av93.c7.g547.i1
XP_004990445.1	Hcv1.av93.c9.g415.i1
XP_004990450.1	Hcv1.av93.c9.g725.i1
XP_004990452.1	Hcv1.av93.c2.g443.i1
XP_004990461.1	Hcv1.av93.c2.g1185.i1
XP_004990463.1	Hcv1.av93.c1.g138.i1
XP_004990467.1	Hcv1.av93.c9.g766.i1
XP_004990468.1	Hcv1.av93.c11.g924.i1
XP_004990470.1	Hcv1.av93.c8.g904.i1
XP_004990471.1	Hcv1.av93.c6.g765.i1
XP_004990476.1	Hcv1.av93.c6.g972.i1
XP_004990484.1	Hcv1.av93.c5.g1002.i2
XP_004990496.1	Hcv1.av93.c3.g1122.i1
XP_004990498.1	Hcv1.av93.c5.g1254.i1
XP_004990500.1	Hcv1.av93.c11.g303.i1
XP_004990503.1	Hcv1.av93.c1.g1173.i1
XP_004990504.1	Hcv1.av93.c1.g578.i2
XP_004990509.1	Hcv1.av93.c7.g693.i1
XP_004990511.1	Hcv1.av93.c3.g1111.i1
XP_004990512.1	Hcv1.av93.c5.g502.i1
XP_004990528.1	Hcv1.av93.c13.g274.i1
XP_004990529.1	Hcv1.av93.c13.g269.i1
XP_004990531.1	Hcv1.av93.c7.g330.i1
XP_004990532.1	Hcv1.av93.c8.g781.i1
XP_004990536.1	Hcv1.av93.c11.g248.i1
XP_004990540.1	Hcv1.av93.c7.g856.i1
XP_004990543.1	Hcv1.av93.c3.g935.i1
XP_004990547.1	Hcv1.av93.c11.g850.i1
XP_004990557.1	Hcv1.av93.c3.g1206.i1
XP_004990558.1	Hcv1.av93.c11.g445.i1
XP_004990559.1	Hcv1.av93.c1.g1357.i1
XP_004990560.1	Hcv1.av93.c6.g357.i1
XP_004990561.1	Hcv1.av93.c10.g236.i1
XP_004990562.1	Hcv1.av93.c2.g624.i1
XP_004990563.1	Hcv1.av93.c6.g209.i1
XP_004990567.1	Hcv1.av93.c11.g350.i1
XP_004990574.1	Hcv1.av93.c5.g161.i1
XP_004990579.1	Hcv1.av93.c13.g623.i1
XP_004990580.1	Hcv1.av93.c5.g792.i1
XP_004990587.1	Hcv1.av93.c3.g1216.i1
XP_004990588.1	Hcv1.av93.c6.g869.i1
XP_004990593.1	Hcv1.av93.c2.g335.i2
XP_004990594.1	Hcv1.av93.c6.g1212.i1
XP_004990613.1	Hcv1.av93.c8.g830.i1
XP_004990617.1	Hcv1.av93.c6.g1031.i1
XP_004990618.1	Hcv1.av93.c2.g946.i1
XP_004990619.1	Hcv1.av93.c8.g670.i1
XP_004990620.1	Hcv1.av93.c2.g1405.i1
XP_004990624.1	Hcv1.av93.c9.g294.i1
XP_004990626.1	Hcv1.av93.c5.g1206.i1
XP_004990632.1	Hcv1.av93.c9.g153.i1
XP_004990633.1	Hcv1.av93.c1.g840.i1
XP_004990643.1	Hcv1.av93.c10.g745.i1
XP_004990659.1	Hcv1.av93.c3.g157.i1
XP_004990660.1	Hcv1.av93.c3.g1195.i1
XP_004990662.1	Hcv1.av93.c8.g76.i1
XP_004990663.1	Hcv1.av93.c3.g742.i1
XP_004990668.1	Hcv1.av93.c5.g1299.i1
XP_004990669.1	Hcv1.av93.c13.g288.i1
XP_004990671.1	Hcv1.av93.c3.g18.i1
XP_004990672.1	Hcv1.av93.c7.g586.i1
XP_004990675.1	Hcv1.av93.c2.g945.i1
XP_004990677.1	Hcv1.av93.c2.g1047.i1
XP_004990681.1	Hcv1.av93.c4.g805.i1
XP_004990683.1	Hcv1.av93.c11.g247.i1
XP_004990685.1	Hcv1.av93.c1.g253.i1
XP_004990689.1	Hcv1.av93.c7.g38.i1
XP_004990692.1	Hcv1.av93.c12.g452.i1
XP_004990693.1	Hcv1.av93.c7.g264.i1
XP_004990697.1	Hcv1.av93.c6.g657.i1
XP_004990703.1	Hcv1.av93.c11.g142.i1
XP_004990704.1	Hcv1.av93.c2.g745.i1
XP_004990710.1	Hcv1.av93.c6.g301.i1
XP_004990712.1	Hcv1.av93.c5.g908.i1
XP_004990715.1	Hcv1.av93.c7.g356.i1
XP_004990717.1	Hcv1.av93.c1.g48.i2
XP_004990718.1	Hcv1.av93.c11.g188.i1
XP_004990732.1	Hcv1.av93.c1.g852.i1
XP_004990734.1	Hcv1.av93.c5.g1047.i1
XP_004990737.1	Hcv1.av93.c11.g668.i1
XP_004990742.1	Hcv1.av93.c6.g946.i1
XP_004990743.1	Hcv1.av93.c3.g239.i1
XP_004990745.1	Hcv1.av93.c3.g593.i1
XP_004990750.1	Hcv1.av93.c12.g212.i1
XP_004990769.1	Hcv1.av93.c3.g1107.i1
XP_004990770.1	Hcv1.av93.c1.g272.i1
XP_004990771.1	Hcv1.av93.c12.g537.i5
XP_004990775.1	Hcv1.av93.c9.g898.i1
XP_004990776.1	Hcv1.av93.c2.g509.i1
XP_004990777.1	Hcv1.av93.c2.g1520.i1
XP_004990785.1	Hcv1.av93.c2.g1422.i1
XP_004990790.1	Hcv1.av93.c2.g132.i1
XP_004990792.1	Hcv1.av93.c5.g845.i1
XP_004990793.1	Hcv1.av93.c3.g369.i1
XP_004990798.1	Hcv1.av93.c13.g580.i1
XP_004990800.1	Hcv1.av93.c6.g1084.i1
XP_004990803.1	Hcv1.av93.c5.g830.i1
XP_004990806.1	Hcv1.av93.c13.g225.i1
XP_004990807.1	Hcv1.av93.c9.g627.i1
XP_004990813.1	Hcv1.av93.c6.g254.i1
XP_004990814.1	Hcv1.av93.c2.g329.i1
XP_004990824.1	Hcv1.av93.c1.g1467.i1
XP_004990833.1	Hcv1.av93.c2.g1473.i2
XP_004990834.1	Hcv1.av93.c3.g822.i1
XP_004990835.1	Hcv1.av93.c8.g129.i1
XP_004990842.1	Hcv1.av93.c11.g103.i1
XP_004990845.1	Hcv1.av93.c5.g317.i1
XP_004990846.1	Hcv1.av93.c10.g328.i1
XP_004990848.1	Hcv1.av93.c1.g1314.i1
XP_004990849.1	Hcv1.av93.c1.g579.i2
XP_004990850.1	Hcv1.av93.c4.g816.i1
XP_004990851.1	Hcv1.av93.c4.g801.i1
XP_004990853.1	Hcv1.av93.c2.g1260.i1
XP_004990858.1	Hcv1.av93.c4.g767.i1
XP_004990861.1	Hcv1.av93.c2.g542.i1
XP_004990863.1	Hcv1.av93.c1.g1031.i1
XP_004990865.1	Hcv1.av93.c3.g913.i1
XP_004990867.1	Hcv1.av93.c11.g353.i1
XP_004990871.1	Hcv1.av93.c6.g788.i1
XP_004990877.1	Hcv1.av93.c11.g496.i1
XP_004990878.1	Hcv1.av93.c8.g857.i1
XP_004990881.1	Hcv1.av93.c6.g266.i3
XP_004990884.1	Hcv1.av93.c5.g1022.i1
XP_004990885.1	Hcv1.av93.c7.g439.i1
XP_004990896.1	Hcv1.av93.c3.g322.i1
XP_004990904.1	Hcv1.av93.c7.g94.i1
XP_004990905.1	Hcv1.av93.c6.g663.i1
XP_004990906.1	Hcv1.av93.c1.g249.i1
XP_004990910.1	Hcv1.av93.c9.g501.i1
XP_004990911.1	Hcv1.av93.c2.g566.i1
XP_004990913.1	Hcv1.av93.c6.g1021.i1
XP_004990914.1	Hcv1.av93.c8.g483.i1
XP_004990916.1	Hcv1.av93.c5.g1241.i1
XP_004990917.1	Hcv1.av93.c5.g274.i1
XP_004990921.1	Hcv1.av93.c2.g433.i1
XP_004990922.1	Hcv1.av93.c11.g111.i1
XP_004990928.1	Hcv1.av93.c5.g1325.i1
XP_004990929.1	Hcv1.av93.c3.g62.i1
XP_004990931.1	Hcv1.av93.c9.g137.i1
XP_004990932.1	Hcv1.av93.c10.g356.i1
XP_004990933.1	Hcv1.av93.c13.g217.i1
XP_004990934.1	Hcv1.av93.c3.g854.i1
XP_004990935.1	Hcv1.av93.c12.g18.i1
XP_004990936.1	Hcv1.av93.c2.g429.i1
XP_004990955.1	Hcv1.av93.c1.g791.i1
XP_004990956.1	Hcv1.av93.c6.g1054.i1
XP_004990957.1	Hcv1.av93.c1.g377.i1
XP_004990967.1	Hcv1.av93.c12.g239.i1
XP_004990968.1	Hcv1.av93.c11.g651.i1
XP_004990969.1	Hcv1.av93.c1.g636.i1
XP_004990975.1	Hcv1.av93.c9.g190.i1
XP_004990976.1	Hcv1.av93.c8.g813.i1
XP_004990984.1	Hcv1.av93.c5.g1044.i2
XP_004990987.1	Hcv1.av93.c8.g970.i2
XP_004990989.1	Hcv1.av93.c5.g735.i4
XP_004990991.1	Hcv1.av93.c1.g353.i1
XP_004990994.1	Hcv1.av93.c9.g283.i2
XP_004990996.1	Hcv1.av93.c7.g351.i1
XP_004990998.1	Hcv1.av93.c8.g468.i1
XP_004990999.1	Hcv1.av93.c8.g720.i1
XP_004991000.1	Hcv1.av93.c12.g45.i1
XP_004991005.1	Hcv1.av93.c2.g1451.i1
XP_004991006.1	Hcv1.av93.c6.g923.i1
XP_004991008.1	Hcv1.av93.c10.g531.i1
XP_004991009.1	Hcv1.av93.c9.g113.i1
XP_004991010.1	Hcv1.av93.c5.g940.i1
XP_004991028.1	Hcv1.av93.c2.g1611.i3
XP_004991030.1	Hcv1.av93.c2.g16.i1
XP_004991031.1	Hcv1.av93.c10.g82.i1
XP_004991033.1	Hcv1.av93.c2.g1643.i1
XP_004991034.1	Hcv1.av93.c3.g64.i1
XP_004991035.1	Hcv1.av93.c13.g429.i2
XP_004991037.1	Hcv1.av93.c2.g1437.i1
XP_004991038.1	Hcv1.av93.c13.g229.i1
XP_004991039.1	Hcv1.av93.c3.g792.i2
XP_004991040.1	Hcv1.av93.c1.g761.i1
XP_004991044.1	Hcv1.av93.c5.g474.i1
XP_004991045.1	Hcv1.av93.c8.g569.i1
XP_004991046.1	Hcv1.av93.c3.g1337.i1
XP_004991048.1	Hcv1.av93.c10.g744.i1
XP_004991050.1	Hcv1.av93.c7.g1007.i1
XP_004991051.1	Hcv1.av93.c5.g1042.i1
XP_004991052.1	Hcv1.av93.c1.g1258.i1
XP_004991054.1	Hcv1.av93.c1.g1393.i1
XP_004991058.1	Hcv1.av93.c9.g622.i2
XP_004991059.1	Hcv1.av93.c6.g754.i1
XP_004991060.1	Hcv1.av93.c1.g320.i6
XP_004991061.1	Hcv1.av93.c7.g328.i1
XP_004991063.1	Hcv1.av93.c11.g205.i1
XP_004991065.1	Hcv1.av93.c11.g620.i1
XP_004991071.1	Hcv1.av93.c13.g464.i1
XP_004991074.1	Hcv1.av93.c2.g585.i1
XP_004991077.1	Hcv1.av93.c7.g907.i1
XP_004991079.1	Hcv1.av93.c3.g58.i1
XP_004991084.1	Hcv1.av93.c2.g879.i1
XP_004991086.1	Hcv1.av93.c7.g649.i1
XP_004991098.1	Hcv1.av93.c2.g450.i1
XP_004991099.1	Hcv1.av93.c9.g330.i1
XP_004991102.1	Hcv1.av93.c5.g1051.i1
XP_004991105.1	Hcv1.av93.c11.g528.i1
XP_004991107.1	Hcv1.av93.c5.g635.i1
XP_004991108.1	Hcv1.av93.c2.g1278.i1
XP_004991110.1	Hcv1.av93.c2.g508.i1
XP_004991111.1	Hcv1.av93.c11.g476.i1
XP_004991112.1	Hcv1.av93.c1.g1200.i1
XP_004991115.1	Hcv1.av93.c9.g552.i1
XP_004991119.1	Hcv1.av93.c2.g874.i1
XP_004991122.1	Hcv1.av93.c8.g935.i3
XP_004991123.1	Hcv1.av93.c6.g782.i1
XP_004991124.1	Hcv1.av93.c13.g87.i1
XP_004991127.1	Hcv1.av93.c3.g1009.i1
XP_004991128.1	Hcv1.av93.c6.g685.i1
XP_004991129.1	Hcv1.av93.c1.g760.i1
XP_004991132.1	Hcv1.av93.c11.g615.i1
XP_004991133.1	Hcv1.av93.c1.g1632.i2
XP_004991135.1	Hcv1.av93.c10.g207.i1
XP_004991138.1	Hcv1.av93.c9.g608.i1
XP_004991140.1	Hcv1.av93.c6.g540.i1
XP_004991142.1	Hcv1.av93.c10.g590.i1
XP_004991143.1	Hcv1.av93.c9.g342.i1
XP_004991144.1	Hcv1.av93.c5.g697.i1
XP_004991147.1	Hcv1.av93.c2.g736.i1
XP_004991148.1	Hcv1.av93.c6.g125.i1
XP_004991154.1	Hcv1.av93.c6.g379.i1
XP_004991156.1	Hcv1.av93.c1.g278.i2
XP_004991161.1	Hcv1.av93.c2.g1616.i1
XP_004991162.1	Hcv1.av93.c11.g305.i1
XP_004991166.1	Hcv1.av93.c10.g121.i1
XP_004991172.1	Hcv1.av93.c2.g262.i1
XP_004991173.1	Hcv1.av93.c2.g1069.i1
XP_004991174.1	Hcv1.av93.c8.g117.i1
XP_004991177.1	Hcv1.av93.c6.g300.i1
XP_004991181.1	Hcv1.av93.c12.g492.i1
XP_004991182.1	Hcv1.av93.c3.g988.i1
XP_004991185.1	Hcv1.av93.c9.g292.i1
XP_004991187.1	Hcv1.av93.c8.g554.i1
XP_004991190.1	Hcv1.av93.c8.g232.i1
XP_004991192.1	Hcv1.av93.c10.g382.i1
XP_004991193.1	Hcv1.av93.c3.g406.i1
XP_004991204.1	Hcv1.av93.c5.g54.i1
XP_004991205.1	Hcv1.av93.c4.g282.i1
XP_004991207.1	Hcv1.av93.c9.g471.i1
XP_004991209.1	Hcv1.av93.c5.g341.i1
XP_004991215.1	Hcv1.av93.c9.g782.i1
XP_004991217.1	Hcv1.av93.c2.g438.i1
XP_004991218.1	Hcv1.av93.c3.g892.i1
XP_004991221.1	Hcv1.av93.c5.g9.i1
XP_004991225.1	Hcv1.av93.c5.g768.i1
XP_004991226.1	Hcv1.av93.c4.g67.i5
XP_004991230.1	Hcv1.av93.c11.g6.i2
XP_004991240.1	Hcv1.av93.c9.g437.i1
XP_004991242.1	Hcv1.av93.c6.g243.i2
XP_004991248.1	Hcv1.av93.c3.g257.i1
XP_004991249.1	Hcv1.av93.c7.g426.i1
XP_004991253.1	Hcv1.av93.c3.g1294.i1
XP_004991256.1	Hcv1.av93.c11.g1027.i1
XP_004991257.1	Hcv1.av93.c2.g1629.i1
XP_004991258.1	Hcv1.av93.c13.g334.i1
XP_004991259.1	Hcv1.av93.c2.g1669.i1
XP_004991278.1	Hcv1.av93.c7.g367.i1
XP_004991285.1	Hcv1.av93.c3.g908.i1
XP_004991286.1	Hcv1.av93.c2.g819.i1
XP_004991292.1	Hcv1.av93.c6.g1133.i1
XP_004991294.1	Hcv1.av93.c1.g978.i1
XP_004991296.1	Hcv1.av93.c6.g58.i1
XP_004991311.1	Hcv1.av93.c7.g1040.i1
XP_004991317.1	Hcv1.av93.c8.g617.i1
XP_004991320.1	Hcv1.av93.c1.g1016.i1
XP_004991324.1	Hcv1.av93.c2.g240.i1
XP_004991325.1	Hcv1.av93.c1.g1360.i1
XP_004991329.1	Hcv1.av93.c11.g734.i1
XP_004991331.1	Hcv1.av93.c7.g484.i1
XP_004991332.1	Hcv1.av93.c5.g738.i1
XP_004991333.1	Hcv1.av93.c2.g318.i1
XP_004991338.1	Hcv1.av93.c10.g363.i1
XP_004991341.1	Hcv1.av93.c11.g801.i1
XP_004991342.1	Hcv1.av93.c9.g672.i1
XP_004991355.1	Hcv1.av93.c5.g7.i1
XP_004991356.1	Hcv1.av93.c5.g998.i1
XP_004991357.1	Hcv1.av93.c3.g546.i1
XP_004991358.1	Hcv1.av93.c11.g768.i1
XP_004991362.1	Hcv1.av93.c2.g901.i1
XP_004991367.1	Hcv1.av93.c4.g95.i2
XP_004991369.1	Hcv1.av93.c2.g1495.i1
XP_004991376.1	Hcv1.av93.c5.g648.i1
XP_004991381.1	Hcv1.av93.c12.g539.i1
XP_004991389.1	Hcv1.av93.c9.g548.i1
XP_004991394.1	Hcv1.av93.c7.g174.i1
XP_004991403.1	Hcv1.av93.c8.g291.i1
XP_004991404.1	Hcv1.av93.c3.g1309.i1
XP_004991406.1	Hcv1.av93.c5.g1229.i1
XP_004991407.1	Hcv1.av93.c6.g583.i1
XP_004991408.1	Hcv1.av93.c11.g527.i1
XP_004991410.1	Hcv1.av93.c5.g897.i5
XP_004991412.1	Hcv1.av93.c5.g135.i1
XP_004991414.1	Hcv1.av93.c4.g30.i1
XP_004991417.1	Hcv1.av93.c7.g226.i1
XP_004991420.1	Hcv1.av93.c5.g506.i1
