Hcv1.av93.c1.g1001.i1	mRNA.RE12872
Hcv1.av93.c1.g603.i1	mRNA.RE13551
Hcv1.av93.c1.g607.i1	mRNA.RE10392
Hcv1.av93.c1.g611.i2	mRNA.RE15409
Hcv1.av93.c1.g614.i1	mRNA.RE13718
Hcv1.av93.c1.g615.i2	mRNA.RE12018
Hcv1.av93.c1.g620.i1	mRNA.RE01609
Hcv1.av93.c1.g623.i1	mRNA.RE11804
Hcv1.av93.c1.g626.i1	mRNA.RE15205
Hcv1.av93.c1.g628.i1	mRNA.RE01393
Hcv1.av93.c1.g629.i1	mRNA.RE11534
Hcv1.av93.c1.g63.i3	mRNA.RE14601
Hcv1.av93.c1.g634.i1	mRNA.RE16142
Hcv1.av93.c1.g636.i1	mRNA.RE06741
Hcv1.av93.c1.g639.i2	mRNA.RE15652
Hcv1.av93.c1.g646.i1	mRNA.RE12581
Hcv1.av93.c1.g648.i1	mRNA.RE11618
Hcv1.av93.c1.g649.i1	mRNA.RE05005
Hcv1.av93.c1.g653.i1	mRNA.RE16596
Hcv1.av93.c1.g655.i1	mRNA.RE10839
Hcv1.av93.c1.g656.i2	mRNA.RE14248
Hcv1.av93.c1.g657.i1	mRNA.RE12378
Hcv1.av93.c1.g660.i1	mRNA.RE13755
Hcv1.av93.c1.g661.i1	mRNA.RE04977
Hcv1.av93.c1.g662.i1	mRNA.RE17122
Hcv1.av93.c1.g663.i2	mRNA.RE15330
Hcv1.av93.c1.g664.i1	mRNA.RE06144
Hcv1.av93.c1.g668.i1	mRNA.RE07320
Hcv1.av93.c1.g669.i1	mRNA.RE00284
Hcv1.av93.c1.g670.i2	mRNA.RE17213
Hcv1.av93.c1.g671.i3	mRNA.RE07861
Hcv1.av93.c1.g673.i1	mRNA.RE09188
Hcv1.av93.c1.g676.i1	mRNA.RE06868
Hcv1.av93.c1.g678.i1	mRNA.RE09914
Hcv1.av93.c1.g680.i1	mRNA.RE10071
Hcv1.av93.c1.g682.i1	mRNA.RE15725
Hcv1.av93.c1.g686.i1	mRNA.RE16948
Hcv1.av93.c1.g688.i1	mRNA.RE12613
Hcv1.av93.c1.g690.i2	mRNA.RE15861
Hcv1.av93.c1.g691.i1	mRNA.RE09363
Hcv1.av93.c1.g692.i1	mRNA.RE09128
Hcv1.av93.c1.g695.i1	mRNA.RE07888
Hcv1.av93.c1.g696.i1	mRNA.RE15297
Hcv1.av93.c1.g7.i1	mRNA.RE01918
Hcv1.av93.c1.g700.i2	mRNA.RE02297
Hcv1.av93.c1.g705.i1	mRNA.RE10040
Hcv1.av93.c1.g708.i3	mRNA.RE01819
Hcv1.av93.c1.g715.i1	mRNA.RE09564
Hcv1.av93.c1.g716.i1	mRNA.RE17120
Hcv1.av93.c1.g717.i1	mRNA.RE06074
Hcv1.av93.c1.g720.i1	mRNA.RE12577
Hcv1.av93.c1.g721.i1	mRNA.RE13640
Hcv1.av93.c1.g722.i1	mRNA.RE07923
Hcv1.av93.c1.g724.i1	mRNA.RE11211
Hcv1.av93.c1.g725.i1	mRNA.RE02010
Hcv1.av93.c1.g726.i1	mRNA.RE00289
Hcv1.av93.c1.g728.i1	mRNA.RE02032
Hcv1.av93.c1.g730.i1	mRNA.RE14700
Hcv1.av93.c1.g731.i1	mRNA.RE06551
Hcv1.av93.c1.g735.i1	mRNA.RE10588
Hcv1.av93.c1.g74.i1	mRNA.RE13266
Hcv1.av93.c1.g740.i1	mRNA.RE10698
Hcv1.av93.c1.g741.i1	mRNA.RE04948
Hcv1.av93.c1.g742.i1	mRNA.RE16644
Hcv1.av93.c1.g746.i1	mRNA.RE14932
Hcv1.av93.c1.g759.i1	mRNA.RE14528
Hcv1.av93.c1.g760.i1	mRNA.RE04741
Hcv1.av93.c1.g761.i1	mRNA.RE09328
Hcv1.av93.c1.g762.i1	mRNA.RE06572
Hcv1.av93.c1.g766.i1	mRNA.RE00941
Hcv1.av93.c1.g767.i3	mRNA.RE08230
Hcv1.av93.c1.g77.i1	mRNA.RE05790
Hcv1.av93.c1.g770.i1	mRNA.RE11411
Hcv1.av93.c1.g772.i1	mRNA.RE07930
Hcv1.av93.c1.g773.i1	mRNA.RE01892
Hcv1.av93.c1.g774.i1	mRNA.RE05198
Hcv1.av93.c1.g78.i1	mRNA.RE00530
Hcv1.av93.c1.g780.i1	mRNA.RE10192
Hcv1.av93.c1.g785.i1	mRNA.RE10762
Hcv1.av93.c1.g786.i1	mRNA.RE08608
Hcv1.av93.c1.g787.i1	mRNA.RE17015
Hcv1.av93.c1.g788.i1	mRNA.RE05535
Hcv1.av93.c1.g789.i1	mRNA.RE14922
Hcv1.av93.c1.g790.i1	mRNA.RE16824
Hcv1.av93.c1.g799.i1	mRNA.RE16703
Hcv1.av93.c1.g802.i1	mRNA.RE16382
Hcv1.av93.c1.g803.i1	mRNA.RE11541
Hcv1.av93.c1.g804.i4	mRNA.RE07931
Hcv1.av93.c1.g810.i1	mRNA.RE14242
Hcv1.av93.c1.g814.i1	mRNA.RE06477
Hcv1.av93.c1.g820.i2	mRNA.RE01715
Hcv1.av93.c1.g829.i1	mRNA.RE15595
Hcv1.av93.c1.g83.i1	mRNA.RE00276
Hcv1.av93.c1.g831.i1	mRNA.RE08865
Hcv1.av93.c1.g837.i1	mRNA.RE14415
Hcv1.av93.c1.g838.i1	mRNA.RE16107
Hcv1.av93.c1.g839.i1	mRNA.RE07004
Hcv1.av93.c1.g840.i1	mRNA.RE04449
Hcv1.av93.c1.g842.i2	mRNA.RE15971
Hcv1.av93.c1.g845.i1	mRNA.RE15135
Hcv1.av93.c1.g852.i1	mRNA.RE02644
Hcv1.av93.c1.g853.i2	mRNA.RE04180
Hcv1.av93.c1.g862.i1	mRNA.RE10090
Hcv1.av93.c1.g863.i1	mRNA.RE16292
Hcv1.av93.c1.g869.i1	mRNA.RE11905
Hcv1.av93.c1.g88.i1	mRNA.RE02558
Hcv1.av93.c1.g883.i1	mRNA.RE15867
Hcv1.av93.c1.g888.i1	mRNA.RE07832
Hcv1.av93.c1.g890.i1	mRNA.RE06261
Hcv1.av93.c1.g897.i1	mRNA.RE13273
Hcv1.av93.c1.g909.i1	mRNA.RE03042
Hcv1.av93.c1.g91.i3	mRNA.RE15815
Hcv1.av93.c1.g913.i1	mRNA.RE09281
Hcv1.av93.c1.g914.i1	mRNA.RE16967
Hcv1.av93.c1.g915.i1	mRNA.RE15196
Hcv1.av93.c1.g916.i1	mRNA.RE15360
Hcv1.av93.c1.g917.i1	mRNA.RE07846
Hcv1.av93.c1.g919.i2	mRNA.RE06179
Hcv1.av93.c1.g921.i1	mRNA.RE15984
Hcv1.av93.c1.g922.i1	mRNA.RE10132
Hcv1.av93.c1.g938.i1	mRNA.RE07980
Hcv1.av93.c1.g946.i1	mRNA.RE09559
Hcv1.av93.c1.g967.i1	mRNA.RE16755
Hcv1.av93.c1.g97.i1	mRNA.RE09229
Hcv1.av93.c1.g970.i1	mRNA.RE16005
Hcv1.av93.c1.g974.i1	mRNA.RE15574
Hcv1.av93.c1.g976.i1	mRNA.RE04133
Hcv1.av93.c1.g977.i1	mRNA.RE09708
Hcv1.av93.c1.g978.i1	mRNA.RE12705
Hcv1.av93.c1.g983.i1	mRNA.RE12784
Hcv1.av93.c1.g985.i1	mRNA.RE07435
Hcv1.av93.c1.g988.i1	mRNA.RE04130
Hcv1.av93.c1.g992.i1	mRNA.RE16028
Hcv1.av93.c1.g993.i1	mRNA.RE06570
Hcv1.av93.c1.g999.i1	mRNA.RE02199
Hcv1.av93.c10.g1.i1	mRNA.RE09359
Hcv1.av93.c10.g100.i1	mRNA.RE16337
Hcv1.av93.c10.g101.i1	mRNA.RE05773
Hcv1.av93.c10.g107.i1	mRNA.RE14211
Hcv1.av93.c10.g108.i3	mRNA.RE11120
Hcv1.av93.c10.g111.i1	mRNA.RE14412
Hcv1.av93.c10.g121.i1	mRNA.RE01265
Hcv1.av93.c10.g122.i1	mRNA.RE11875
Hcv1.av93.c10.g125.i1	mRNA.RE13908
Hcv1.av93.c10.g126.i1	mRNA.RE14113
Hcv1.av93.c10.g127.i1	mRNA.RE12871
Hcv1.av93.c10.g128.i1	mRNA.RE09591
Hcv1.av93.c10.g129.i2	mRNA.RE10461
Hcv1.av93.c10.g13.i3	mRNA.RE14727
Hcv1.av93.c10.g130.i1	mRNA.RE00876
Hcv1.av93.c10.g132.i1	mRNA.RE15007
Hcv1.av93.c10.g14.i1	mRNA.RE07982
Hcv1.av93.c10.g148.i1	mRNA.RE05848
Hcv1.av93.c10.g151.i1	mRNA.RE10191
Hcv1.av93.c10.g154.i1	mRNA.RE12750
Hcv1.av93.c10.g159.i2	mRNA.RE07002
Hcv1.av93.c10.g174.i2	mRNA.RE15515
Hcv1.av93.c10.g183.i1	mRNA.RE07359
Hcv1.av93.c10.g184.i1	mRNA.RE14690
Hcv1.av93.c10.g188.i1	mRNA.RE09469
Hcv1.av93.c10.g198.i1	mRNA.RE02512
Hcv1.av93.c10.g20.i1	mRNA.RE08645
Hcv1.av93.c10.g203.i1	mRNA.RE13446
Hcv1.av93.c10.g205.i1	mRNA.RE16308
Hcv1.av93.c10.g207.i1	mRNA.RE13999
Hcv1.av93.c10.g210.i1	mRNA.RE09349
Hcv1.av93.c10.g217.i1	mRNA.RE06922
Hcv1.av93.c10.g225.i1	mRNA.RE01782
Hcv1.av93.c10.g228.i1	mRNA.RE06092
Hcv1.av93.c10.g229.i1	mRNA.RE15286
Hcv1.av93.c10.g232.i1	mRNA.RE14558
Hcv1.av93.c10.g235.i1	mRNA.RE07420
Hcv1.av93.c10.g242.i2	mRNA.RE09460
Hcv1.av93.c10.g250.i2	mRNA.RE15288
Hcv1.av93.c10.g255.i2	mRNA.RE15268
Hcv1.av93.c10.g261.i5	mRNA.RE09493
Hcv1.av93.c10.g265.i1	mRNA.RE16299
Hcv1.av93.c10.g269.i1	mRNA.RE04633
Hcv1.av93.c10.g27.i1	mRNA.RE05226
Hcv1.av93.c10.g277.i6	mRNA.RE16121
Hcv1.av93.c10.g278.i1	mRNA.RE15717
Hcv1.av93.c10.g280.i1	mRNA.RE10509
Hcv1.av93.c10.g281.i1	mRNA.RE06102
Hcv1.av93.c10.g282.i1	mRNA.RE13632
Hcv1.av93.c10.g284.i1	mRNA.RE08022
Hcv1.av93.c10.g287.i1	mRNA.RE11445
Hcv1.av93.c10.g290.i2	mRNA.RE16428
Hcv1.av93.c10.g291.i1	mRNA.RE06118
Hcv1.av93.c10.g296.i1	mRNA.RE14606
Hcv1.av93.c10.g298.i1	mRNA.RE16222
Hcv1.av93.c10.g299.i1	mRNA.RE09840
Hcv1.av93.c10.g3.i1	mRNA.RE06419
Hcv1.av93.c10.g314.i1	mRNA.RE07547
Hcv1.av93.c10.g315.i1	mRNA.RE12936
Hcv1.av93.c10.g320.i3	mRNA.RE10633
Hcv1.av93.c10.g322.i1	mRNA.RE15146
Hcv1.av93.c10.g328.i1	mRNA.RE13661
Hcv1.av93.c10.g330.i1	mRNA.RE13287
Hcv1.av93.c10.g331.i1	mRNA.RE00447
Hcv1.av93.c10.g332.i1	mRNA.RE11959
Hcv1.av93.c10.g34.i1	mRNA.RE13680
Hcv1.av93.c10.g351.i1	mRNA.RE05080
Hcv1.av93.c10.g353.i1	mRNA.RE05682
Hcv1.av93.c10.g356.i1	mRNA.RE02472
Hcv1.av93.c10.g359.i2	mRNA.RE09775
Hcv1.av93.c10.g364.i1	mRNA.RE14353
Hcv1.av93.c10.g368.i1	mRNA.RE06193
Hcv1.av93.c10.g370.i1	mRNA.RE14411
Hcv1.av93.c10.g372.i1	mRNA.RE15057
Hcv1.av93.c10.g374.i1	mRNA.RE05789
Hcv1.av93.c10.g375.i1	mRNA.RE15443
Hcv1.av93.c10.g38.i3	mRNA.RE15368
Hcv1.av93.c10.g382.i1	mRNA.RE02809
Hcv1.av93.c10.g395.i1	mRNA.RE14887
Hcv1.av93.c10.g397.i1	mRNA.RE15350
Hcv1.av93.c10.g4.i1	mRNA.RE16007
Hcv1.av93.c10.g40.i1	mRNA.RE16419
Hcv1.av93.c10.g405.i1	mRNA.RE04322
Hcv1.av93.c10.g407.i1	mRNA.RE10264
Hcv1.av93.c10.g410.i3	mRNA.RE12810
Hcv1.av93.c10.g42.i1	mRNA.RE13272
Hcv1.av93.c10.g434.i1	mRNA.RE14001
Hcv1.av93.c10.g436.i1	mRNA.RE01274
Hcv1.av93.c10.g440.i1	mRNA.RE02452
Hcv1.av93.c10.g442.i1	mRNA.RE02613
Hcv1.av93.c10.g449.i1	mRNA.RE04131
Hcv1.av93.c10.g45.i1	mRNA.RE06219
Hcv1.av93.c10.g451.i1	mRNA.RE13939
Hcv1.av93.c10.g452.i1	mRNA.RE06954
Hcv1.av93.c10.g454.i1	mRNA.RE13212
Hcv1.av93.c10.g456.i1	mRNA.RE05557
Hcv1.av93.c10.g46.i1	mRNA.RE00673
Hcv1.av93.c10.g462.i1	mRNA.RE14023
Hcv1.av93.c10.g463.i1	mRNA.RE13752
Hcv1.av93.c10.g47.i1	mRNA.RE14430
Hcv1.av93.c10.g477.i1	mRNA.RE13885
Hcv1.av93.c10.g48.i1	mRNA.RE03657
Hcv1.av93.c10.g486.i1	mRNA.RE09308
Hcv1.av93.c10.g494.i1	mRNA.RE07792
Hcv1.av93.c10.g496.i2	mRNA.RE13775
Hcv1.av93.c10.g5.i1	mRNA.RE03855
Hcv1.av93.c10.g500.i1	mRNA.RE04438
Hcv1.av93.c10.g502.i1	mRNA.RE09585
Hcv1.av93.c10.g508.i1	mRNA.RE11184
Hcv1.av93.c10.g51.i1	mRNA.RE07528
Hcv1.av93.c10.g511.i3	mRNA.RE16452
Hcv1.av93.c10.g512.i1	mRNA.RE16702
Hcv1.av93.c10.g513.i1	mRNA.RE14326
Hcv1.av93.c10.g514.i1	mRNA.RE09713
Hcv1.av93.c10.g515.i1	mRNA.RE16818
Hcv1.av93.c10.g516.i1	mRNA.RE02366
Hcv1.av93.c10.g517.i1	mRNA.RE06117
Hcv1.av93.c10.g52.i1	mRNA.RE06543
Hcv1.av93.c10.g521.i1	mRNA.RE04981
Hcv1.av93.c10.g524.i1	mRNA.RE13812
Hcv1.av93.c10.g525.i1	mRNA.RE09479
Hcv1.av93.c10.g531.i1	mRNA.RE04226
Hcv1.av93.c10.g532.i1	mRNA.RE06986
Hcv1.av93.c10.g536.i1	mRNA.RE02739
Hcv1.av93.c10.g538.i1	mRNA.RE08351
Hcv1.av93.c10.g543.i1	mRNA.RE14324
Hcv1.av93.c10.g550.i1	mRNA.RE07707
Hcv1.av93.c10.g551.i1	mRNA.RE02534
Hcv1.av93.c10.g552.i1	mRNA.RE14511
Hcv1.av93.c10.g553.i1	mRNA.RE04452
Hcv1.av93.c10.g56.i1	mRNA.RE14036
Hcv1.av93.c10.g561.i1	mRNA.RE16225
Hcv1.av93.c10.g563.i1	mRNA.RE15540
Hcv1.av93.c10.g568.i2	mRNA.RE09498
Hcv1.av93.c10.g574.i2	mRNA.RE15387
Hcv1.av93.c10.g579.i1	mRNA.RE07828
Hcv1.av93.c10.g58.i1	mRNA.RE06440
Hcv1.av93.c10.g583.i1	mRNA.RE17028
Hcv1.av93.c10.g59.i2	mRNA.RE02535
Hcv1.av93.c10.g590.i1	mRNA.RE10983
Hcv1.av93.c10.g591.i2	mRNA.RE08953
Hcv1.av93.c10.g595.i1	mRNA.RE08244
Hcv1.av93.c10.g60.i2	mRNA.RE04928
Hcv1.av93.c10.g604.i1	mRNA.RE14576
Hcv1.av93.c10.g607.i1	mRNA.RE14099
Hcv1.av93.c10.g612.i1	mRNA.RE13788
Hcv1.av93.c10.g615.i1	mRNA.RE04621
Hcv1.av93.c10.g616.i1	mRNA.RE06149
Hcv1.av93.c10.g617.i1	mRNA.RE13435
Hcv1.av93.c10.g623.i1	mRNA.RE12236
Hcv1.av93.c10.g626.i1	mRNA.RE09235
Hcv1.av93.c10.g63.i1	mRNA.RE01976
Hcv1.av93.c10.g630.i1	mRNA.RE05576
Hcv1.av93.c10.g633.i2	mRNA.RE07571
Hcv1.av93.c10.g634.i1	mRNA.RE12723
Hcv1.av93.c10.g638.i4	mRNA.RE09332
Hcv1.av93.c10.g642.i1	mRNA.RE02045
Hcv1.av93.c10.g643.i1	mRNA.RE00927
Hcv1.av93.c10.g645.i1	mRNA.RE02948
Hcv1.av93.c10.g646.i2	mRNA.RE09036
Hcv1.av93.c10.g647.i1	mRNA.RE09718
Hcv1.av93.c10.g649.i1	mRNA.RE14559
Hcv1.av93.c10.g656.i1	mRNA.RE14052
Hcv1.av93.c10.g657.i1	mRNA.RE06192
Hcv1.av93.c10.g661.i1	mRNA.RE14535
Hcv1.av93.c10.g662.i1	mRNA.RE10265
Hcv1.av93.c10.g664.i3	mRNA.RE10530
Hcv1.av93.c10.g665.i1	mRNA.RE15913
Hcv1.av93.c10.g668.i1	mRNA.RE02597
Hcv1.av93.c10.g681.i1	mRNA.RE14010
Hcv1.av93.c10.g688.i1	mRNA.RE05377
Hcv1.av93.c10.g690.i1	mRNA.RE13300
Hcv1.av93.c10.g699.i1	mRNA.RE13634
Hcv1.av93.c10.g700.i1	mRNA.RE14890
Hcv1.av93.c10.g701.i5	mRNA.RE09515
Hcv1.av93.c10.g702.i1	mRNA.RE15518
Hcv1.av93.c10.g705.i1	mRNA.RE15863
Hcv1.av93.c10.g708.i1	mRNA.RE10757
Hcv1.av93.c10.g710.i1	mRNA.RE03536
Hcv1.av93.c10.g718.i1	mRNA.RE11049
Hcv1.av93.c10.g726.i3	mRNA.RE06073
Hcv1.av93.c10.g727.i1	mRNA.RE01051
Hcv1.av93.c10.g731.i1	mRNA.RE13762
Hcv1.av93.c10.g736.i1	mRNA.RE16080
Hcv1.av93.c10.g737.i1	mRNA.RE03838
Hcv1.av93.c10.g738.i1	mRNA.RE01055
Hcv1.av93.c10.g742.i1	mRNA.RE02563
Hcv1.av93.c10.g744.i1	mRNA.RE02477
Hcv1.av93.c10.g745.i1	mRNA.RE10394
Hcv1.av93.c10.g746.i1	mRNA.RE13883
Hcv1.av93.c10.g749.i2	mRNA.RE11043
Hcv1.av93.c10.g77.i1	mRNA.RE13959
Hcv1.av93.c10.g78.i2	mRNA.RE16029
Hcv1.av93.c10.g82.i1	mRNA.RE06191
Hcv1.av93.c10.g83.i1	mRNA.RE11214
Hcv1.av93.c10.g86.i2	mRNA.RE12574
Hcv1.av93.c10.g91.i1	mRNA.RE16652
Hcv1.av93.c11.g1003.i2	mRNA.RE07010
Hcv1.av93.c11.g1009.i1	mRNA.RE01971
Hcv1.av93.c11.g101.i2	mRNA.RE06210
Hcv1.av93.c11.g1012.i1	mRNA.RE08299
Hcv1.av93.c11.g1014.i1	mRNA.RE14273
Hcv1.av93.c11.g1015.i1	mRNA.RE13216
Hcv1.av93.c11.g1019.i1	mRNA.RE04398
Hcv1.av93.c11.g102.i1	mRNA.RE12193
Hcv1.av93.c11.g1020.i1	mRNA.RE05912
Hcv1.av93.c11.g1024.i1	mRNA.RE15887
Hcv1.av93.c11.g1026.i1	mRNA.RE15323
Hcv1.av93.c11.g1027.i1	mRNA.RE09552
Hcv1.av93.c11.g1028.i1	mRNA.RE13832
Hcv1.av93.c11.g103.i1	mRNA.RE06007
Hcv1.av93.c11.g1030.i1	mRNA.RE12307
Hcv1.av93.c11.g1031.i1	mRNA.RE11631
Hcv1.av93.c11.g1034.i1	mRNA.RE05674
Hcv1.av93.c11.g1035.i1	mRNA.RE11403
Hcv1.av93.c11.g104.i1	mRNA.RE00666
Hcv1.av93.c11.g1043.i1	mRNA.RE03032
Hcv1.av93.c11.g1045.i1	mRNA.RE16581
Hcv1.av93.c11.g107.i1	mRNA.RE04759
Hcv1.av93.c11.g11.i1	mRNA.RE01901
Hcv1.av93.c11.g110.i2	mRNA.RE16229
Hcv1.av93.c11.g111.i1	mRNA.RE08217
Hcv1.av93.c11.g115.i1	mRNA.RE00127
Hcv1.av93.c11.g12.i1	mRNA.RE12344
Hcv1.av93.c11.g122.i1	mRNA.RE02496
Hcv1.av93.c11.g127.i1	mRNA.RE13353
Hcv1.av93.c11.g131.i1	mRNA.RE12612
Hcv1.av93.c11.g133.i3	mRNA.RE16856
Hcv1.av93.c11.g135.i1	mRNA.RE04040
Hcv1.av93.c11.g136.i3	mRNA.RE14156
Hcv1.av93.c11.g142.i1	mRNA.RE09301
Hcv1.av93.c11.g143.i1	mRNA.RE02256
Hcv1.av93.c11.g144.i1	mRNA.RE01483
Hcv1.av93.c11.g148.i1	mRNA.RE06495
Hcv1.av93.c11.g149.i1	mRNA.RE15123
Hcv1.av93.c11.g158.i1	mRNA.RE12342
Hcv1.av93.c11.g161.i1	mRNA.RE07896
Hcv1.av93.c11.g162.i2	mRNA.RE11555
Hcv1.av93.c11.g170.i1	mRNA.RE11415
Hcv1.av93.c11.g172.i2	mRNA.RE12306
Hcv1.av93.c11.g174.i1	mRNA.RE10542
Hcv1.av93.c11.g175.i1	mRNA.RE03031
Hcv1.av93.c11.g178.i1	mRNA.RE06214
Hcv1.av93.c11.g18.i2	mRNA.RE09119
Hcv1.av93.c11.g189.i1	mRNA.RE05299
Hcv1.av93.c11.g19.i2	mRNA.RE12785
Hcv1.av93.c11.g194.i1	mRNA.RE04455
Hcv1.av93.c11.g195.i1	mRNA.RE14697
Hcv1.av93.c11.g198.i1	mRNA.RE00411
Hcv1.av93.c11.g199.i1	mRNA.RE11619
Hcv1.av93.c11.g200.i1	mRNA.RE12330
Hcv1.av93.c11.g201.i2	mRNA.RE04201
Hcv1.av93.c11.g205.i1	mRNA.RE11615
Hcv1.av93.c11.g209.i1	mRNA.RE13250
Hcv1.av93.c11.g210.i1	mRNA.RE00233
Hcv1.av93.c11.g213.i1	mRNA.RE01897
Hcv1.av93.c11.g214.i1	mRNA.RE05168
Hcv1.av93.c11.g217.i1	mRNA.RE07853
Hcv1.av93.c11.g218.i1	mRNA.RE01330
Hcv1.av93.c11.g227.i1	mRNA.RE07370
Hcv1.av93.c11.g23.i1	mRNA.RE17042
Hcv1.av93.c11.g232.i1	mRNA.RE12420
Hcv1.av93.c11.g233.i1	mRNA.RE06444
Hcv1.av93.c11.g236.i1	mRNA.RE11236
Hcv1.av93.c11.g239.i1	mRNA.RE08048
Hcv1.av93.c11.g243.i3	mRNA.RE01963
Hcv1.av93.c11.g246.i1	mRNA.RE01456
Hcv1.av93.c11.g247.i1	mRNA.RE13248
Hcv1.av93.c11.g248.i1	mRNA.RE09747
Hcv1.av93.c11.g25.i1	mRNA.RE05962
Hcv1.av93.c11.g253.i1	mRNA.RE12037
Hcv1.av93.c11.g254.i1	mRNA.RE03985
Hcv1.av93.c11.g255.i1	mRNA.RE12136
Hcv1.av93.c11.g256.i1	mRNA.RE12308
Hcv1.av93.c11.g257.i1	mRNA.RE14608
Hcv1.av93.c11.g258.i1	mRNA.RE08708
Hcv1.av93.c11.g260.i2	mRNA.RE15769
Hcv1.av93.c11.g262.i1	mRNA.RE03024
Hcv1.av93.c11.g264.i1	mRNA.RE12638
Hcv1.av93.c11.g267.i1	mRNA.RE05940
Hcv1.av93.c11.g268.i2	mRNA.RE15277
Hcv1.av93.c11.g272.i1	mRNA.RE04716
Hcv1.av93.c11.g273.i1	mRNA.RE14874
Hcv1.av93.c11.g275.i1	mRNA.RE15463
Hcv1.av93.c11.g276.i1	mRNA.RE12168
Hcv1.av93.c11.g277.i1	mRNA.RE14655
Hcv1.av93.c11.g278.i1	mRNA.RE04885
Hcv1.av93.c11.g279.i1	mRNA.RE15562
Hcv1.av93.c11.g282.i1	mRNA.RE16084
Hcv1.av93.c11.g284.i1	mRNA.RE12684
Hcv1.av93.c11.g285.i1	mRNA.RE15108
Hcv1.av93.c11.g287.i2	mRNA.RE12818
Hcv1.av93.c11.g289.i2	mRNA.RE16132
Hcv1.av93.c11.g291.i1	mRNA.RE10485
Hcv1.av93.c11.g296.i1	mRNA.RE04951
Hcv1.av93.c11.g297.i1	mRNA.RE01427
Hcv1.av93.c11.g299.i1	mRNA.RE16857
Hcv1.av93.c11.g302.i1	mRNA.RE10459
Hcv1.av93.c11.g303.i1	mRNA.RE14249
Hcv1.av93.c11.g304.i1	mRNA.RE07815
Hcv1.av93.c11.g305.i1	mRNA.RE10445
Hcv1.av93.c11.g306.i1	mRNA.RE10811
Hcv1.av93.c11.g307.i1	mRNA.RE13398
Hcv1.av93.c11.g309.i1	mRNA.RE16675
Hcv1.av93.c11.g310.i2	mRNA.RE12343
Hcv1.av93.c11.g311.i1	mRNA.RE14555
Hcv1.av93.c11.g324.i1	mRNA.RE08004
Hcv1.av93.c11.g327.i1	mRNA.RE12752
Hcv1.av93.c11.g330.i4	mRNA.RE08895
Hcv1.av93.c11.g333.i1	mRNA.RE07920
Hcv1.av93.c11.g335.i1	mRNA.RE13190
Hcv1.av93.c11.g337.i1	mRNA.RE02959
Hcv1.av93.c11.g339.i1	mRNA.RE09132
Hcv1.av93.c11.g342.i1	mRNA.RE15271
Hcv1.av93.c11.g345.i1	mRNA.RE10886
Hcv1.av93.c11.g346.i1	mRNA.RE03576
Hcv1.av93.c11.g350.i1	mRNA.RE08264
Hcv1.av93.c11.g353.i1	mRNA.RE16046
Hcv1.av93.c11.g357.i3	mRNA.RE03898
Hcv1.av93.c11.g358.i1	mRNA.RE02113
Hcv1.av93.c11.g359.i1	mRNA.RE06022
Hcv1.av93.c11.g362.i1	mRNA.RE11639
Hcv1.av93.c11.g363.i1	mRNA.RE12827
Hcv1.av93.c11.g374.i1	mRNA.RE06211
Hcv1.av93.c11.g375.i1	mRNA.RE11307
Hcv1.av93.c11.g380.i2	mRNA.RE04863
Hcv1.av93.c11.g385.i1	mRNA.RE12825
Hcv1.av93.c11.g389.i1	mRNA.RE14596
Hcv1.av93.c11.g390.i1	mRNA.RE09954
Hcv1.av93.c11.g394.i1	mRNA.RE13792
Hcv1.av93.c11.g395.i2	mRNA.RE10047
Hcv1.av93.c11.g398.i1	mRNA.RE16589
Hcv1.av93.c11.g40.i1	mRNA.RE07148
Hcv1.av93.c11.g402.i1	mRNA.RE16544
Hcv1.av93.c11.g403.i1	mRNA.RE03029
Hcv1.av93.c11.g413.i1	mRNA.RE06293
Hcv1.av93.c11.g414.i1	mRNA.RE10506
Hcv1.av93.c11.g415.i1	mRNA.RE10250
Hcv1.av93.c11.g421.i1	mRNA.RE03188
Hcv1.av93.c11.g425.i1	mRNA.RE04748
Hcv1.av93.c11.g426.i1	mRNA.RE13952
Hcv1.av93.c11.g427.i1	mRNA.RE15687
Hcv1.av93.c11.g429.i1	mRNA.RE13374
Hcv1.av93.c11.g432.i1	mRNA.RE12681
Hcv1.av93.c11.g433.i1	mRNA.RE08663
Hcv1.av93.c11.g434.i1	mRNA.RE14344
Hcv1.av93.c11.g435.i1	mRNA.RE04414
Hcv1.av93.c11.g436.i2	mRNA.RE09680
Hcv1.av93.c11.g437.i1	mRNA.RE14864
Hcv1.av93.c11.g439.i1	mRNA.RE04809
Hcv1.av93.c11.g440.i2	mRNA.RE14787
Hcv1.av93.c11.g442.i1	mRNA.RE16947
Hcv1.av93.c11.g444.i1	mRNA.RE17047
Hcv1.av93.c11.g445.i1	mRNA.RE09919
Hcv1.av93.c11.g447.i2	mRNA.RE10620
Hcv1.av93.c11.g448.i2	mRNA.RE10381
Hcv1.av93.c11.g454.i1	mRNA.RE13312
Hcv1.av93.c11.g458.i1	mRNA.RE13078
Hcv1.av93.c11.g464.i2	mRNA.RE14580
Hcv1.av93.c11.g469.i1	mRNA.RE14777
Hcv1.av93.c11.g473.i1	mRNA.RE10329
Hcv1.av93.c11.g476.i1	mRNA.RE08987
Hcv1.av93.c11.g477.i1	mRNA.RE15173
Hcv1.av93.c11.g48.i1	mRNA.RE09700
