Em0001g1007a	mRNA.RE06677
Em0005g1396a	mRNA.RE09989
Em0005g1409a	mRNA.RE00429
Em0005g1438a	mRNA.RE00716
Em0005g1439a	mRNA.RE14393
Em0005g143a	mRNA.RE09393
Em0005g1442a	mRNA.RE11575
Em0005g1444a	mRNA.RE09339
Em0005g1446a	mRNA.RE10421
Em0005g1447a	mRNA.RE12818
Em0005g1450a	mRNA.RE10062
Em0005g1452a	mRNA.RE07141
Em0005g1459a	mRNA.RE14179
Em0005g145a	mRNA.RE09486
Em0005g1462a	mRNA.RE11617
Em0005g1473a	mRNA.RE03491
Em0005g1477a	mRNA.RE11611
Em0005g1478a	mRNA.RE12630
Em0005g1484a	mRNA.RE10464
Em0005g1489a	mRNA.RE16346
Em0005g149a	mRNA.RE14655
Em0005g1501a	mRNA.RE13815
Em0005g1505a	mRNA.RE15888
Em0005g1518a	mRNA.RE03890
Em0005g1520a	mRNA.RE06842
Em0005g1521a	mRNA.RE11628
Em0005g1522a	mRNA.RE06504
Em0005g1523a	mRNA.RE11642
Em0005g1524a	mRNA.RE10047
Em0005g1525a	mRNA.RE10044
Em0005g1526a	mRNA.RE10046
Em0005g1527a	mRNA.RE12825
Em0005g1529a	mRNA.RE10445
Em0005g1532a	mRNA.RE11640
Em0005g1537a	mRNA.RE12822
Em0005g1538a	mRNA.RE12320
Em0005g1539a	mRNA.RE10013
Em0005g1540a	mRNA.RE12803
Em0005g1541a	mRNA.RE07715
Em0005g1542a	mRNA.RE12823
Em0005g1543a	mRNA.RE12834
Em0005g1544a	mRNA.RE10432
Em0005g1545a	mRNA.RE12824
Em0005g1546a	mRNA.RE12887
Em0005g1548a	mRNA.RE07726
Em0005g154a	mRNA.RE09491
Em0005g1571a	mRNA.RE12307
Em0005g1579a	mRNA.RE05898
Em0005g1588a	mRNA.RE10051
Em0005g1590a	mRNA.RE04428
Em0005g1591a	mRNA.RE15370
Em0005g1594a	mRNA.RE01960
Em0005g1595a	mRNA.RE10459
Em0005g1596a	mRNA.RE11562
Em0005g1597a	mRNA.RE02882
Em0005g1598a	mRNA.RE09246
Em0005g1600a	mRNA.RE11615
Em0005g1602a	mRNA.RE10016
Em0005g1605a	mRNA.RE12813
Em0005g1613a	mRNA.RE10429
Em0005g1615a	mRNA.RE11576
Em0005g1624a	mRNA.RE11627
Em0005g1627a	mRNA.RE05924
Em0005g1630a	mRNA.RE15438
Em0005g1631a	mRNA.RE00835
Em0005g1632a	mRNA.RE12309
Em0005g1633a	mRNA.RE11875
Em0005g1635a	mRNA.RE11607
Em0005g1636a	mRNA.RE01971
Em0005g1637a	mRNA.RE11644
Em0005g1638a	mRNA.RE11604
Em0005g1641a	mRNA.RE00542
Em0005g1643a	mRNA.RE11842
Em0005g1644a	mRNA.RE01979
Em0005g1646a	mRNA.RE15036
Em0005g1648a	mRNA.RE07706
Em0005g1649a	mRNA.RE05540
Em0005g1652a	mRNA.RE10031
Em0005g1653a	mRNA.RE01957
Em0005g1654a	mRNA.RE12322
Em0005g1655a	mRNA.RE14344
Em0005g1658a	mRNA.RE11537
Em0005g165a	mRNA.RE06085
Em0005g1662a	mRNA.RE03945
Em0005g1665a	mRNA.RE03985
Em0005g1666a	mRNA.RE12827
Em0005g1669a	mRNA.RE07716
Em0005g1670a	mRNA.RE13318
Em0005g1673a	mRNA.RE11633
Em0005g1676a	mRNA.RE09975
Em0005g1677a	mRNA.RE00663
Em0005g1681a	mRNA.RE01956
Em0005g169a	mRNA.RE11445
Em0005g170a	mRNA.RE15478
Em0005g171a	mRNA.RE08630
Em0005g172a	mRNA.RE02511
Em0005g175a	mRNA.RE06149
Em0005g177a	mRNA.RE08029
Em0005g179a	mRNA.RE03592
Em0005g181a	mRNA.RE06092
Em0005g188a	mRNA.RE10829
Em0005g212a	mRNA.RE07491
Em0005g215a	mRNA.RE05682
Em0005g217a	mRNA.RE13145
Em0005g22a	mRNA.RE03943
Em0005g239a	mRNA.RE10038
Em0005g24a	mRNA.RE14072
Em0005g25a	mRNA.RE02535
Em0005g262a	mRNA.RE12353
Em0005g363a	mRNA.RE10173
Em0005g475a	mRNA.RE16826
Em0005g516a	mRNA.RE12502
Em0005g522a	mRNA.RE08871
Em0005g549a	mRNA.RE00388
Em0005g566a	mRNA.RE15929
Em0005g590a	mRNA.RE14136
Em0005g60a	mRNA.RE16846
Em0005g61a	mRNA.RE06655
Em0005g627a	mRNA.RE11510
Em0005g662a	mRNA.RE15447
Em0005g667a	mRNA.RE12325
Em0005g671a	mRNA.RE12346
Em0005g674a	mRNA.RE04029
Em0005g706a	mRNA.RE12332
Em0005g707a	mRNA.RE05568
Em0005g710a	mRNA.RE09451
Em0005g714a	mRNA.RE10012
Em0005g72a	mRNA.RE08824
Em0005g73a	mRNA.RE12785
Em0005g75a	mRNA.RE06102
Em0005g772a	mRNA.RE05306
Em0005g779a	mRNA.RE04117
Em0005g800a	mRNA.RE04340
Em0005g802a	mRNA.RE10077
Em0005g810a	mRNA.RE04624
Em0005g85a	mRNA.RE09359
Em0005g86a	mRNA.RE08314
Em0005g870a	mRNA.RE16707
Em0005g874a	mRNA.RE13491
Em0005g87a	mRNA.RE09498
Em0005g893a	mRNA.RE10005
Em0005g894a	mRNA.RE10816
Em0005g89a	mRNA.RE09469
Em0005g90a	mRNA.RE14917
Em0005g913a	mRNA.RE06557
Em0005g945a	mRNA.RE04188
Em0005g946a	mRNA.RE08606
Em0005g947a	mRNA.RE09964
Em0005g954a	mRNA.RE02702
Em0005g959a	mRNA.RE07492
Em0005g960a	mRNA.RE06495
Em0006g1000a	mRNA.RE06144
Em0006g1001a	mRNA.RE04128
Em0006g1002a	mRNA.RE13999
Em0006g1004a	mRNA.RE06264
Em0006g1007a	mRNA.RE06767
Em0006g1008a	mRNA.RE09426
Em0006g1009a	mRNA.RE01921
Em0006g1010a	mRNA.RE09515
Em0006g1014a	mRNA.RE13964
Em0006g1034a	mRNA.RE11196
Em0006g1035a	mRNA.RE11265
Em0006g1037a	mRNA.RE10129
Em0006g1042a	mRNA.RE13991
Em0006g1044a	mRNA.RE13911
Em0006g1047a	mRNA.RE11772
Em0006g1054a	mRNA.RE02915
Em0006g1114a	mRNA.RE01005
Em0006g1115a	mRNA.RE13885
Em0006g1134a	mRNA.RE09478
Em0006g1144a	mRNA.RE01793
Em0006g1151a	mRNA.RE07551
Em0006g1153a	mRNA.RE08863
Em0006g1154a	mRNA.RE08258
Em0006g1168a	mRNA.RE09471
Em0006g1171a	mRNA.RE06193
Em0006g1172a	mRNA.RE14010
Em0006g1174a	mRNA.RE06494
Em0006g1176a	mRNA.RE02120
Em0006g1181a	mRNA.RE14790
Em0006g1187a	mRNA.RE05864
Em0006g11a	mRNA.RE12647
Em0006g1216a	mRNA.RE14001
Em0006g1217a	mRNA.RE09332
Em0006g1218a	mRNA.RE14875
Em0006g1220a	mRNA.RE09444
Em0006g1224a	mRNA.RE06192
Em0006g1227a	mRNA.RE13920
Em0006g1234a	mRNA.RE09462
Em0006g1235a	mRNA.RE02596
Em0006g1237a	mRNA.RE09232
Em0006g1239a	mRNA.RE16834
Em0006g1244a	mRNA.RE14089
Em0006g1245a	mRNA.RE14073
Em0006g1247a	mRNA.RE15898
Em0006g1249a	mRNA.RE14036
Em0006g1255a	mRNA.RE01179
Em0006g1280a	mRNA.RE02298
Em0006g1295a	mRNA.RE17139
Em0006g1333a	mRNA.RE08320
Em0006g1363a	mRNA.RE00402
Em0006g1365a	mRNA.RE11275
Em0006g1370a	mRNA.RE07152
Em0006g1374a	mRNA.RE09235
Em0006g1403a	mRNA.RE11399
Em0006g1422a	mRNA.RE11408
Em0006g1428a	mRNA.RE08245
Em0006g1429a	mRNA.RE07073
Em0006g1430a	mRNA.RE07060
Em0006g1499a	mRNA.RE01169
Em0006g1511a	mRNA.RE11420
Em0006g1541a	mRNA.RE15170
Em0006g1556a	mRNA.RE01167
Em0006g1557a	mRNA.RE05522
Em0006g1558a	mRNA.RE10394
Em0006g1559a	mRNA.RE00419
Em0006g1560a	mRNA.RE01641
Em0006g215a	mRNA.RE14132
Em0006g375a	mRNA.RE03225
Em0006g420a	mRNA.RE03983
Em0006g449a	mRNA.RE04486
Em0006g472a	mRNA.RE09690
Em0006g494a	mRNA.RE13643
Em0006g517a	mRNA.RE09437
Em0006g528a	mRNA.RE02538
Em0006g584a	mRNA.RE03822
Em0006g590a	mRNA.RE06073
Em0006g599a	mRNA.RE12994
Em0006g618a	mRNA.RE10213
Em0006g619a	mRNA.RE14533
Em0006g620a	mRNA.RE15799
Em0006g631a	mRNA.RE11281
Em0006g644a	mRNA.RE06195
Em0006g646a	mRNA.RE02532
Em0006g647a	mRNA.RE08941
Em0006g661a	mRNA.RE15485
Em0006g662a	mRNA.RE09093
Em0006g664a	mRNA.RE16035
Em0006g717a	mRNA.RE07584
Em0006g747a	mRNA.RE13951
Em0006g794a	mRNA.RE16160
Em0006g862a	mRNA.RE09476
Em0006g863a	mRNA.RE09460
Em0006g871a	mRNA.RE07375
Em0006g874a	mRNA.RE09357
Em0006g876a	mRNA.RE05972
Em0006g877a	mRNA.RE10944
Em0006g893a	mRNA.RE09323
Em0006g895a	mRNA.RE14041
Em0006g898a	mRNA.RE00947
Em0006g900a	mRNA.RE09482
Em0006g903a	mRNA.RE14427
Em0006g908a	mRNA.RE13630
Em0006g915a	mRNA.RE14488
Em0006g932a	mRNA.RE10189
Em0006g933a	mRNA.RE09480
Em0006g934a	mRNA.RE03004
Em0006g958a	mRNA.RE09919
Em0006g969a	mRNA.RE15286
Em0006g976a	mRNA.RE14631
Em0006g977a	mRNA.RE01062
Em0006g980a	mRNA.RE09505
Em0006g983a	mRNA.RE15568
Em0006g984a	mRNA.RE03000
Em0006g985a	mRNA.RE09516
Em0006g988a	mRNA.RE10000
Em0007g1001a	mRNA.RE03999
Em0007g1005a	mRNA.RE07414
Em0007g1031a	mRNA.RE05753
Em0007g1035a	mRNA.RE11896
Em0007g1038a	mRNA.RE01588
Em0007g1192a	mRNA.RE06454
Em0007g1283a	mRNA.RE09337
Em0007g12a	mRNA.RE09741
Em0007g1330a	mRNA.RE10179
Em0007g1334a	mRNA.RE16482
Em0007g1336a	mRNA.RE03354
Em0007g1360a	mRNA.RE15547
Em0007g1389a	mRNA.RE10232
Em0007g1413a	mRNA.RE08188
Em0007g1428a	mRNA.RE13250
Em0007g1443a	mRNA.RE05830
Em0007g1444a	mRNA.RE04472
Em0007g1457a	mRNA.RE06653
Em0007g1461a	mRNA.RE16012
Em0007g1462a	mRNA.RE06689
Em0007g1463a	mRNA.RE04138
Em0007g1465a	mRNA.RE08600
Em0007g1471a	mRNA.RE06889
Em0007g1505a	mRNA.RE15718
Em0007g1515a	mRNA.RE05315
Em0007g1522a	mRNA.RE17123
Em0007g1535a	mRNA.RE15046
Em0007g155a	mRNA.RE02966
Em0007g15a	mRNA.RE10148
Em0007g17a	mRNA.RE03352
Em0007g182a	mRNA.RE08068
Em0007g18a	mRNA.RE06717
Em0007g214a	mRNA.RE03361
Em0007g21a	mRNA.RE06739
Em0007g224a	mRNA.RE12869
Em0007g22a	mRNA.RE11374
Em0007g240a	mRNA.RE11324
Em0007g245a	mRNA.RE09325
Em0007g246a	mRNA.RE00737
Em0007g247a	mRNA.RE02914
Em0007g250a	mRNA.RE10219
Em0007g251a	mRNA.RE15658
Em0007g252a	mRNA.RE12662
Em0007g256a	mRNA.RE02994
Em0007g257a	mRNA.RE02939
Em0007g258a	mRNA.RE03649
Em0007g260a	mRNA.RE15647
Em0007g266a	mRNA.RE15667
Em0007g284a	mRNA.RE15313
Em0007g30a	mRNA.RE04887
Em0007g312a	mRNA.RE15637
Em0007g313a	mRNA.RE02950
Em0007g31a	mRNA.RE15055
Em0007g323a	mRNA.RE11358
Em0007g32a	mRNA.RE10178
Em0007g331a	mRNA.RE15640
Em0007g33a	mRNA.RE17015
Em0007g369a	mRNA.RE11299
Em0007g40a	mRNA.RE13378
Em0007g42a	mRNA.RE15753
Em0007g46a	mRNA.RE03558
Em0007g527a	mRNA.RE04397
Em0007g569a	mRNA.RE03435
Em0007g577a	mRNA.RE10183
Em0007g582a	mRNA.RE07401
Em0007g586a	mRNA.RE07402
Em0007g593a	mRNA.RE15064
Em0007g619a	mRNA.RE06489
Em0007g621a	mRNA.RE15329
Em0007g626a	mRNA.RE14351
Em0007g631a	mRNA.RE14005
Em0007g639a	mRNA.RE13819
Em0007g640a	mRNA.RE16795
Em0007g644a	mRNA.RE02031
Em0007g680a	mRNA.RE06729
Em0007g694a	mRNA.RE13613
Em0007g70a	mRNA.RE02964
Em0007g716a	mRNA.RE12829
Em0007g722a	mRNA.RE02949
Em0007g72a	mRNA.RE08277
Em0007g738a	mRNA.RE06534
Em0007g756a	mRNA.RE06479
Em0007g787a	mRNA.RE10954
Em0007g78a	mRNA.RE04571
Em0007g842a	mRNA.RE06690
Em0007g843a	mRNA.RE06692
Em0007g850a	mRNA.RE14077
Em0007g923a	mRNA.RE14656
Em0007g938a	mRNA.RE15620
Em0007g965a	mRNA.RE02835
Em0007g966a	mRNA.RE15621
Em0007g969a	mRNA.RE16577
Em0007g970a	mRNA.RE10134
Em0007g981a	mRNA.RE11272
Em0007g982a	mRNA.RE10420
Em0007g992a	mRNA.RE08994
Em0008g1006a	mRNA.RE03601
Em0008g1007a	mRNA.RE00449
Em0008g1008a	mRNA.RE02132
Em0008g1009a	mRNA.RE08626
Em0008g1010a	mRNA.RE13244
Em0008g1011a	mRNA.RE09597
Em0008g1012a	mRNA.RE16428
Em0008g1013a	mRNA.RE00075
Em0008g1015a	mRNA.RE16439
Em0008g1016a	mRNA.RE13232
Em0008g1017a	mRNA.RE03932
Em0008g1018a	mRNA.RE09069
Em0008g1021a	mRNA.RE16394
Em0008g1024a	mRNA.RE16517
Em0008g1025a	mRNA.RE02329
Em0008g1026a	mRNA.RE00447
Em0008g1027a	mRNA.RE09071
Em0008g1028a	mRNA.RE14918
Em0008g1030a	mRNA.RE12449
Em0008g1032a	mRNA.RE14426
Em0008g1033a	mRNA.RE09087
Em0008g1040a	mRNA.RE09125
Em0008g1042a	mRNA.RE00111
Em0008g1043a	mRNA.RE11247
Em0008g104a	mRNA.RE16835
Em0008g1057a	mRNA.RE13862
Em0008g1058a	mRNA.RE00448
Em0008g1059a	mRNA.RE08152
Em0008g105a	mRNA.RE09082
Em0008g1060a	mRNA.RE16387
Em0008g1062a	mRNA.RE03646
Em0008g1063a	mRNA.RE09067
Em0008g1066a	mRNA.RE14104
Em0008g1068a	mRNA.RE02550
Em0008g1070a	mRNA.RE15090
Em0008g1071a	mRNA.RE16435
Em0008g1072a	mRNA.RE09074
Em0008g1076a	mRNA.RE15881
Em0008g1079a	mRNA.RE02930
Em0008g1080a	mRNA.RE03616
Em0008g1081a	mRNA.RE16448
Em0008g1082a	mRNA.RE16492
Em0008g1106a	mRNA.RE09039
Em0008g1107a	mRNA.RE11801
Em0008g1108a	mRNA.RE15899
Em0008g1110a	mRNA.RE13842
Em0008g1111a	mRNA.RE00617
Em0008g1112a	mRNA.RE02063
Em0008g1113a	mRNA.RE09047
Em0008g1115a	mRNA.RE07724
Em0008g1116a	mRNA.RE13963
Em0008g1117a	mRNA.RE16388
Em0008g1118a	mRNA.RE00556
Em0008g1121a	mRNA.RE16437
Em0008g1122a	mRNA.RE02005
Em0008g1123a	mRNA.RE10613
Em0008g1125a	mRNA.RE09068
Em0008g1126a	mRNA.RE16429
Em0008g1128a	mRNA.RE16460
Em0008g1129a	mRNA.RE03594
Em0008g1130a	mRNA.RE00748
Em0008g1156a	mRNA.RE03620
Em0008g1157a	mRNA.RE03622
Em0008g1165a	mRNA.RE09154
Em0008g1166a	mRNA.RE13843
Em0008g1174a	mRNA.RE09580
Em0008g1183a	mRNA.RE13215
Em0008g1192a	mRNA.RE09592
Em0008g1195a	mRNA.RE13860
Em0008g1199a	mRNA.RE09091
Em0008g1201a	mRNA.RE03597
Em0008g1212a	mRNA.RE09119
Em0008g1214a	mRNA.RE09108
Em0008g1217a	mRNA.RE14842
Em0008g1220a	mRNA.RE14038
Em0008g1221a	mRNA.RE03644
Em0008g1227a	mRNA.RE13850
Em0008g1229a	mRNA.RE16480
Em0008g1236a	mRNA.RE16434
Em0008g1250a	mRNA.RE02558
Em0008g1253a	mRNA.RE09097
Em0008g1255a	mRNA.RE16571
Em0008g1258a	mRNA.RE13861
Em0008g1259a	mRNA.RE13211
Em0008g1260a	mRNA.RE11882
Em0008g1261a	mRNA.RE14758
Em0008g1262a	mRNA.RE16751
Em0008g1265a	mRNA.RE09035
Em0008g1266a	mRNA.RE12654
Em0008g1267a	mRNA.RE09077
Em0008g1268a	mRNA.RE02581
Em0008g1270a	mRNA.RE16468
Em0008g1271a	mRNA.RE03609
Em0008g1272a	mRNA.RE09056
Em0008g1273a	mRNA.RE12166
Em0008g13a	mRNA.RE12708
Em0008g142a	mRNA.RE16540
Em0008g145a	mRNA.RE16535
Em0008g151a	mRNA.RE03938
Em0008g162a	mRNA.RE12995
Em0008g179a	mRNA.RE00451
Em0008g202a	mRNA.RE00649
Em0008g207a	mRNA.RE11961
Em0008g240a	mRNA.RE09811
Em0008g279a	mRNA.RE16520
Em0008g285a	mRNA.RE07901
Em0008g286a	mRNA.RE15578
Em0008g287a	mRNA.RE01635
Em0008g29a	mRNA.RE06314
Em0008g30a	mRNA.RE13760
Em0008g344a	mRNA.RE16471
Em0008g345a	mRNA.RE15504
Em0008g347a	mRNA.RE09591
Em0008g350a	mRNA.RE05695
Em0008g351a	mRNA.RE12685
Em0008g352a	mRNA.RE09023
Em0008g367a	mRNA.RE09101
Em0008g370a	mRNA.RE16469
Em0008g372a	mRNA.RE02297
Em0008g373a	mRNA.RE09022
Em0008g413a	mRNA.RE16424
Em0008g422a	mRNA.RE02560
Em0008g42a	mRNA.RE13498
Em0008g44a	mRNA.RE16401
Em0008g45a	mRNA.RE10631
Em0008g46a	mRNA.RE16399
Em0008g506a	mRNA.RE09098
Em0008g507a	mRNA.RE09103
Em0008g523a	mRNA.RE00747
Em0008g535a	mRNA.RE13367
Em0008g536a	mRNA.RE09363
Em0008g53a	mRNA.RE06292
Em0008g54a	mRNA.RE09712
Em0008g571a	mRNA.RE17001
Em0008g572a	mRNA.RE05276
Em0008g576a	mRNA.RE03635
Em0008g579a	mRNA.RE03076
Em0008g603a	mRNA.RE03339
Em0008g604a	mRNA.RE16386
Em0008g60a	mRNA.RE02139
Em0008g61a	mRNA.RE16447
Em0008g620a	mRNA.RE08362
Em0008g623a	mRNA.RE15887
Em0008g627a	mRNA.RE00083
Em0008g628a	mRNA.RE00876
Em0008g671a	mRNA.RE09054
Em0008g672a	mRNA.RE16459
Em0008g683a	mRNA.RE13536
Em0008g700a	mRNA.RE08364
Em0008g708a	mRNA.RE02006
Em0008g735a	mRNA.RE16378
Em0008g737a	mRNA.RE04131
Em0008g751a	mRNA.RE14016
Em0008g752a	mRNA.RE16303
Em0008g791a	mRNA.RE16364
Em0008g817a	mRNA.RE09026
Em0008g819a	mRNA.RE16373
Em0008g821a	mRNA.RE16408
Em0008g822a	mRNA.RE16427
Em0008g831a	mRNA.RE16377
Em0008g884a	mRNA.RE14512
Em0008g909a	mRNA.RE08623
Em0008g911a	mRNA.RE04691
Em0008g913a	mRNA.RE11170
Em0008g92a	mRNA.RE16365
Em0008g93a	mRNA.RE16369
Em0008g944a	mRNA.RE03629
Em0008g946a	mRNA.RE03533
Em0008g94a	mRNA.RE03612
Em0008g955a	mRNA.RE02190
Em0008g956a	mRNA.RE03641
Em0008g966a	mRNA.RE09021
Em0008g967a	mRNA.RE08179
Em0008g969a	mRNA.RE07486
Em0008g96a	mRNA.RE02578
Em0008g971a	mRNA.RE13221
Em0008g973a	mRNA.RE03610
Em0008g974a	mRNA.RE02574
Em0008g975a	mRNA.RE03927
Em0008g976a	mRNA.RE09079
Em0008g978a	mRNA.RE16443
Em0008g980a	mRNA.RE09085
Em0008g995a	mRNA.RE10374
Em0008g99a	mRNA.RE16372
Em0009g1006a	mRNA.RE09261
Em0009g1007a	mRNA.RE12507
Em0009g1008a	mRNA.RE07811
Em0009g1010a	mRNA.RE10854
Em0009g1018a	mRNA.RE10006
Em0009g1019a	mRNA.RE12443
Em0009g1020a	mRNA.RE07185
Em0009g1021a	mRNA.RE10650
Em0009g1022a	mRNA.RE00985
Em0009g1023a	mRNA.RE00986
Em0009g1024a	mRNA.RE09319
Em0009g1026a	mRNA.RE06252
Em0009g1027a	mRNA.RE13245
Em0009g1028a	mRNA.RE13238
Em0009g1031a	mRNA.RE00530
Em0009g1032a	mRNA.RE13243
Em0009g1034a	mRNA.RE13239
Em0009g1046a	mRNA.RE09250
Em0009g1059a	mRNA.RE14967
Em0009g105a	mRNA.RE09236
Em0009g1060a	mRNA.RE03235
Em0009g1061a	mRNA.RE08751
Em0009g1062a	mRNA.RE00996
Em0009g1063a	mRNA.RE10698
Em0009g1064a	mRNA.RE13248
Em0009g1065a	mRNA.RE03234
Em0009g1066a	mRNA.RE10103
Em0009g1067a	mRNA.RE16653
Em0009g1068a	mRNA.RE10079
Em0009g1069a	mRNA.RE05103
Em0009g106a	mRNA.RE10762
Em0009g1071a	mRNA.RE04272
Em0009g1073a	mRNA.RE09735
Em0009g1074a	mRNA.RE07436
Em0009g1076a	mRNA.RE13287
Em0009g108a	mRNA.RE00554
Em0009g1092a	mRNA.RE11305
Em0009g1093a	mRNA.RE13257
Em0009g1095a	mRNA.RE13339
Em0009g110a	mRNA.RE03358
Em0009g1111a	mRNA.RE14955
Em0009g1112a	mRNA.RE06774
Em0009g1113a	mRNA.RE12486
Em0009g1114a	mRNA.RE05422
Em0009g1118a	mRNA.RE07982
Em0009g1121a	mRNA.RE09254
Em0009g1122a	mRNA.RE12506
Em0009g1123a	mRNA.RE06756
Em0009g1124a	mRNA.RE09231
Em0009g1125a	mRNA.RE09245
Em0009g1126a	mRNA.RE00535
Em0009g1127a	mRNA.RE01872
Em0009g1128a	mRNA.RE00536
Em0009g1129a	mRNA.RE12455
Em0009g1142a	mRNA.RE14823
Em0009g1143a	mRNA.RE06750
Em0009g1144a	mRNA.RE07196
Em0009g1150a	mRNA.RE14133
Em0009g1152a	mRNA.RE09264
Em0009g1154a	mRNA.RE11950
Em0009g1156a	mRNA.RE09562
Em0009g1163a	mRNA.RE10370
Em0009g1165a	mRNA.RE00546
Em0009g1166a	mRNA.RE12499
Em0009g1167a	mRNA.RE13252
Em0009g1171a	mRNA.RE13147
Em0009g1173a	mRNA.RE09251
Em0009g1174a	mRNA.RE06271
Em0009g1177a	mRNA.RE03227
Em0009g117a	mRNA.RE01823
Em0009g1188a	mRNA.RE06006
Em0009g1189a	mRNA.RE08748
Em0009g1190a	mRNA.RE02986
Em0009g1191a	mRNA.RE10118
Em0009g1192a	mRNA.RE10514
Em0009g1195a	mRNA.RE11060
Em0009g1196a	mRNA.RE06237
Em0009g1199a	mRNA.RE13385
Em0009g1200a	mRNA.RE12452
Em0009g1215a	mRNA.RE09227
Em0009g1217a	mRNA.RE13341
Em0009g1218a	mRNA.RE14932
Em0009g1219a	mRNA.RE14893
Em0009g121a	mRNA.RE16132
Em0009g1220a	mRNA.RE14883
Em0009g1221a	mRNA.RE13306
Em0009g1223a	mRNA.RE03157
Em0009g1224a	mRNA.RE10115
Em0009g1225a	mRNA.RE01009
Em0009g1226a	mRNA.RE14960
Em0009g1231a	mRNA.RE14946
Em0009g1233a	mRNA.RE14885
Em0009g1236a	mRNA.RE12474
Em0009g1239a	mRNA.RE12460
Em0009g1240a	mRNA.RE09222
Em0009g1241a	mRNA.RE16220
Em0009g1242a	mRNA.RE01645
Em0009g1243a	mRNA.RE14856
Em0009g1245a	mRNA.RE11954
Em0009g1248a	mRNA.RE09255
Em0009g1258a	mRNA.RE09237
Em0009g1259a	mRNA.RE14874
Em0009g1267a	mRNA.RE00552
Em0009g1268a	mRNA.RE07962
Em0009g1269a	mRNA.RE11962
Em0009g1270a	mRNA.RE14908
Em0009g1275a	mRNA.RE01011
Em0009g1277a	mRNA.RE14950
Em0009g1278a	mRNA.RE14951
Em0009g1281a	mRNA.RE13316
Em0009g1283a	mRNA.RE09803
Em0009g1284a	mRNA.RE00544
Em0009g1285a	mRNA.RE10104
Em0009g1291a	mRNA.RE01157
Em0009g1292a	mRNA.RE07200
Em0009g1293a	mRNA.RE07201
Em0009g1296a	mRNA.RE13351
Em0009g1297a	mRNA.RE04982
Em0009g1298a	mRNA.RE13273
Em0009g1300a	mRNA.RE00558
Em0009g1304a	mRNA.RE09258
Em0009g1305a	mRNA.RE09226
Em0009g1306a	mRNA.RE04683
Em0009g1307a	mRNA.RE06256
Em0009g1308a	mRNA.RE04510
Em0009g1309a	mRNA.RE13350
Em0009g1310a	mRNA.RE13352
Em0009g1312a	mRNA.RE14369
Em0009g1314a	mRNA.RE10095
Em0009g138a	mRNA.RE00841
Em0009g143a	mRNA.RE07464
Em0009g151a	mRNA.RE09248
Em0009g152a	mRNA.RE14873
Em0009g156a	mRNA.RE03377
Em0009g160a	mRNA.RE15479
Em0009g184a	mRNA.RE00557
Em0009g185a	mRNA.RE08168
Em0009g186a	mRNA.RE07769
Em0009g187a	mRNA.RE09229
Em0009g188a	mRNA.RE06253
Em0009g18a	mRNA.RE02523
Em0009g249a	mRNA.RE03237
Em0009g278a	mRNA.RE14914
Em0009g279a	mRNA.RE14907
Em0009g298a	mRNA.RE12488
Em0009g32a	mRNA.RE13349
Em0009g34a	mRNA.RE02924
Em0009g35a	mRNA.RE06861
Em0009g366a	mRNA.RE00294
Em0009g38a	mRNA.RE13326
Em0009g399a	mRNA.RE12490
Em0009g39a	mRNA.RE02937
Em0009g400a	mRNA.RE03061
Em0009g402a	mRNA.RE13311
Em0009g40a	mRNA.RE13278
Em0009g41a	mRNA.RE11959
Em0009g426a	mRNA.RE01507
Em0009g427a	mRNA.RE07177
Em0009g430a	mRNA.RE10818
Em0009g436a	mRNA.RE13184
Em0009g43a	mRNA.RE13778
Em0009g447a	mRNA.RE03559
Em0009g44a	mRNA.RE01004
Em0009g450a	mRNA.RE13317
Em0009g451a	mRNA.RE04551
Em0009g452a	mRNA.RE14456
Em0009g45a	mRNA.RE06247
Em0009g484a	mRNA.RE01200
Em0009g48a	mRNA.RE06766
Em0009g49a	mRNA.RE15265
Em0009g517a	mRNA.RE12448
Em0009g526a	mRNA.RE06238
Em0009g52a	mRNA.RE07466
Em0009g530a	mRNA.RE06239
Em0009g53a	mRNA.RE15174
Em0009g549a	mRNA.RE05950
Em0009g54a	mRNA.RE16010
Em0009g56a	mRNA.RE10035
Em0009g591a	mRNA.RE13284
Em0009g592a	mRNA.RE13285
Em0009g593a	mRNA.RE14067
Em0009g599a	mRNA.RE15239
Em0009g600a	mRNA.RE13307
Em0009g601a	mRNA.RE07011
Em0009g602a	mRNA.RE11947
Em0009g603a	mRNA.RE14868
Em0009g605a	mRNA.RE12274
Em0009g606a	mRNA.RE13353
Em0009g607a	mRNA.RE14888
Em0009g610a	mRNA.RE13279
Em0009g612a	mRNA.RE14220
Em0009g613a	mRNA.RE05174
Em0009g616a	mRNA.RE04481
Em0009g618a	mRNA.RE14852
Em0009g619a	mRNA.RE03304
Em0009g620a	mRNA.RE06768
Em0009g643a	mRNA.RE14871
Em0009g646a	mRNA.RE12013
Em0009g659a	mRNA.RE13787
Em0009g65a	mRNA.RE10452
Em0009g677a	mRNA.RE09253
Em0009g678a	mRNA.RE09249
Em0009g680a	mRNA.RE06757
Em0009g69a	mRNA.RE13857
Em0009g710a	mRNA.RE12453
Em0009g750a	mRNA.RE10271
Em0009g756a	mRNA.RE06537
Em0009g762a	mRNA.RE11898
Em0009g782a	mRNA.RE00430
